Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
396,),"[5084, 5307, 5096]",FOUND,2
398,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
406,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
407,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
414,),"[5084, 5307, 5096]",FOUND,2
416,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
433,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
434,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
450,),"[5084, 5307, 5096]",FOUND,2
453,class constant superclass _terminator body_statement end,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,10
459,constant superclass _terminator body_statement end,[1975],FOUND,2
476,< _expression,"[125, 4668, 5420, 5447, 2041, 217]",FOUND,3
478,constant,[540],FOUND,1
482,:: constant,"[1909, 23, 2476, 3417, 4008, 5369, 5496]",FOUND,3
484,constant,[3135],FOUND,1
488,:: constant,"[1936, 22, 2476, 3417, 4008, 5369, 5496, 2108]",FOUND,3
490,constant,[3135],FOUND,1
501,def _method_rest,"[2041, 240, 1936, 22, 2476, 3417, 4008, 5369, 5496, 2108]",FOUND,4
505,identifier,[2466],FOUND,1
517,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
518,identifier,[4611],FOUND,1
524,),"[5461, 5245, 5499]",FOUND,1
530,identifier,"[2041, 238, 2084, 149]",FOUND,2
542,( _argument_list_with_trailing_comma ),"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,5
543,identifier,[428],FOUND,1
549,", _argument","[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,2
551,instance_variable,"[432, 5815]",FOUND,10
554,. identifier,"[1941, 1954, 34, 2499, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,3
555,identifier,[3143],FOUND,1
560,),"[1947, 37, 2499, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,1
564,end,"[2041, 2053, 252, 4944, 5777, 5810, 2455, 2257, 2376, 2552, 2812, 4589, 4625]",FOUND,11
570,identifier,"[2041, 2053, 252, 4944, 5777, 5846, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,2
578,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5846]",FOUND,4
579,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5846, 5084]",FOUND,3
592,),"[5084, 5307, 5096]",FOUND,2
594,do _terminator body_statement end,"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 4944, 5777, 5846]",FOUND,2
601,identifier,"[2041, 179, 164]",FOUND,2
607,do _terminator body_statement end,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5656]",FOUND,16
616,instance_variable,"[2041, 170, 147]",FOUND,5
620,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,3
622,constant,[462],FOUND,2
634,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,1
635,identifier,[3163],FOUND,1
643,end,"[2041, 2053, 252, 4944, 5777, 5833, 1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,12
651,identifier,"[2041, 2053, 252, 4944, 5777, 5656, 2375, 2316, 2376, 2552, 2812, 4589, 4625]",FOUND,2
658,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656]",FOUND,4
659,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5656, 5084]",FOUND,3
684,),"[5084, 5307, 5096]",FOUND,2
