Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
401,),"[5084, 5307, 5096]",FOUND,2
404,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
412,do _terminator body_statement end,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,16
417,identifier,"[2041, 170, 147]",FOUND,3
424,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,4
425,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833, 5084]",FOUND,3
445,),"[5084, 5307, 5096]",FOUND,2
449,identifier,"[2041, 2053, 252, 4944, 5777, 5833, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
453,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833]",FOUND,4
454,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833, 5084]",FOUND,3
461,),"[5084, 5307, 5096]",FOUND,2
462,", _argument","[5307, 5096, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 4944, 5777, 5833]",FOUND,5
464,hash_key_symbol : _arg,[451],FOUND,4
471,: _arg,"[451, 5711]",FOUND,4
473,false,"[483, 4512, 4502, 4533, 4466, 4515, 4589, 4626, 4944, 5777, 5833]",FOUND,12
481,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2108, 2114, 2429, 2702, 4512, 4502, 4533, 4466, 4515, 4589, 4626]",FOUND,2
485,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833]",FOUND,4
486,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5833, 5084]",FOUND,3
490,),"[5084, 5307, 5096]",FOUND,2
492,end,"[2041, 2053, 257, 252, 4944, 5777, 5833, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,10
497,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2375, 2316, 2376, 2860, 3360, 4770, 4868]",FOUND,2
505,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
506,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
513,),"[5084, 5307, 5096]",FOUND,2
516,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
520,/ _literal_contents ),"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,20
523,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5048]",FOUND,4
530,escape_sequence,"[5048, 5307, 5167]",FOUND,2
532,string_content,"[5307, 5177, 5167]",FOUND,2
534,),"[5307, 5177, 5167]",FOUND,3
536,do block_parameters _terminator body_statement end,"[2335, 2376, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,6
539,| _formal_parameter |,"[164, 2041, 179]",FOUND,9
540,identifier,[4575],FOUND,1
547,|,"[5315, 5245, 5489]",FOUND,1
551,[ _argument_list_with_trailing_comma ],"[2041, 219, 2118, 178]",FOUND,19
557,""" _literal_contents )",[424],FOUND,3
558,string_content,"[424, 5207]",FOUND,1
568,#{ _statements },"[5207, 5307, 5038]",FOUND,4
570,identifier,[357],FOUND,1
576,[ _argument_list_with_trailing_comma ],"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,10
577,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807, 431]",FOUND,3
578,string_content,"[431, 5207]",FOUND,1
586,),"[5207, 5307, 5038]",FOUND,1
587,],"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5683]",FOUND,4
588,. identifier,"[2061, 2108, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
589,identifier,[3163],FOUND,1
594,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
595,string_content,"[5302, 5307, 5177, 5038]",FOUND,3
599,),"[5302, 5307, 5177, 5038]",FOUND,1
600,", _argument","[5307, 5177, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5827]",FOUND,2
606,""" _literal_contents )","[432, 5827]",FOUND,1
607,string_content,"[432, 5827, 5207]",FOUND,1
610,#{ _statements },"[5207, 5307, 5038]",FOUND,4
612,identifier,[357],FOUND,1
619,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
620,string_content,"[5302, 5307, 5177, 5038]",FOUND,3
643,),"[5302, 5307, 5177, 5038]",FOUND,1
647,],"[2835, 3184, 3515, 3995, 5317, 5018, 5467, 5827]",FOUND,3
649,end,"[2041, 2053, 252, 4944, 5777, 5666, 2379, 2376, 2552, 2812, 4589, 4625]",FOUND,26
