Location,Ground_Truth,State_List,Coverage_Result,Rank
378,identifier,"[1, 5883]",FOUND,1
386,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
387,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
395,),"[5084, 5307, 5096]",FOUND,2
398,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
404,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
406,constant,[481],FOUND,1
414,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
415,identifier,[3136],FOUND,1
418,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
419,""" _literal_contents )",[428],FOUND,2
420,string_content,"[428, 5207]",FOUND,1
437,),"[5207, 5307, 5038]",FOUND,1
438,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
441,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
446,. constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
447,constant,[3136],NOT_FOUND,0
456,. constant,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
457,constant,[3136],NOT_FOUND,0
461,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 11, 2182, 2860, 3360, 4770, 4868]",FOUND,2
466,. constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
467,constant,[3136],NOT_FOUND,0
472,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
473,""" _literal_contents )",[428],FOUND,2
474,string_content,"[428, 5207]",FOUND,1
476,),"[5207, 5307, 5038]",FOUND,1
477,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
478,. constant,"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
479,constant,[3136],NOT_FOUND,0
485,= _arg,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
487,integer,[481],FOUND,4
490,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2226, 2286, 2380, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5554]",FOUND,2
495,. constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
496,constant,[3136],NOT_FOUND,0
501,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
502,""" _literal_contents )",[428],FOUND,2
503,string_content,"[428, 5207]",FOUND,1
505,),"[5207, 5307, 5038]",FOUND,1
506,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
507,. constant,"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
508,constant,[3136],NOT_FOUND,0
514,= _arg,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
516,integer,[481],FOUND,4
519,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2226, 2286, 2380, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5554]",FOUND,2
524,. constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
525,constant,[3136],NOT_FOUND,0
530,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
531,""" _literal_contents )",[428],FOUND,2
532,string_content,"[428, 5207]",FOUND,1
534,),"[5207, 5307, 5038]",FOUND,1
535,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
536,. constant,"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",NOT_FOUND,0
537,constant,[3136],NOT_FOUND,0
543,= _arg,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
545,""" _literal_contents )",[481],FOUND,3
546,string_content,"[481, 5084]",FOUND,1
552,),"[5084, 5307, 5096]",FOUND,2
