Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator end,"[1, 5883]",FOUND,50
6,constant _terminator end,[1975],FOUND,6
8,end,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,11
12,class constant superclass _terminator end,"[2142, 2145, 346, 5593, 5883, 2430, 2376, 2860, 3360, 4770, 4861]",FOUND,25
18,constant superclass _terminator end,[1975],FOUND,5
20,< _expression,"[125, 4668, 5420, 5447, 2041, 217]",FOUND,3
22,constant,[540],FOUND,1
24,end,"[2041, 240, 1909, 23, 2476, 3417, 4008, 5369, 5496]",FOUND,6
28,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2309, 2376, 2860, 3360, 4770, 4868]",FOUND,2
33,constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,10
34,. identifier,"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,7
35,identifier,[3080],FOUND,1
46,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 9, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
51,constant,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,10
52,. identifier,"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,7
53,identifier,[3080],FOUND,1
63,. identifier,"[1930, 9, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,7
64,identifier,[3080],FOUND,1
