Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,5
6,constant _terminator body_statement end,[1975],FOUND,1
15,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
19,identifier,[2466],FOUND,1
29,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
30,identifier,[4611],FOUND,1
35,),"[5461, 5245, 5499]",FOUND,1
41,instance_variable,"[2041, 238, 2084, 149]",FOUND,3
48,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
50,identifier,[462],FOUND,1
58,end,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,11
64,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
68,identifier,[2466],FOUND,1
78,instance_variable,"[2041, 216, 4745, 4557, 5621]",FOUND,6
87,end,"[2041, 2053, 252, 4944, 5777, 5785, 1910, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,14
93,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2304, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,6
97,identifier =,[2466],FOUND,5
101,=,"[4745, 4557, 5621]",FOUND,9
102,( _formal_parameter ),"[4455, 4443, 4557]",FOUND,2
103,identifier,[4611],FOUND,1
107,),"[5461, 5245, 5499]",FOUND,1
113,identifier,"[2041, 238, 2084, 149]",FOUND,2
117,", _lhs","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,22
119,identifier,"[1960, 5630, 5811]",FOUND,1
124,", _lhs","[4773, 4668, 5022, 5304, 5630, 5811, 5471]",FOUND,2
126,identifier,"[1959, 5630, 5811]",FOUND,2
130,= _arg,"[4773, 4668, 5022, 5301, 5304, 5630, 5811, 5471]",FOUND,1
132,identifier,[462],FOUND,1
136,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
137,identifier,[3163],FOUND,1
142,( _argument_list_with_trailing_comma ),"[1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
