Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,4
6,constant _terminator body_statement end,[1975],FOUND,1
15,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
19,identifier,[2466],FOUND,1
31,""" _literal_contents )","[2041, 216, 4745, 4557, 5621]",FOUND,11
32,string_content,"[2041, 216, 5084]",FOUND,1
44,),"[5084, 5307, 5096]",FOUND,2
48,end,"[2041, 2053, 252, 4944, 5777, 5785, 2259, 2234, 2552, 2812, 4589, 4625]",FOUND,11
54,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2304, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
58,identifier,[2466],FOUND,1
66,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
67,identifier,[4611],FOUND,1
73,),"[5461, 5245, 5499]",FOUND,1
79,identifier,"[2041, 238, 2084, 149]",FOUND,2
84,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
85,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810, 5084]",FOUND,3
109,),"[5084, 5307, 5096]",FOUND,2
115,instance_variable,"[2041, 2053, 252, 4944, 5777, 5810, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,6
121,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
123,identifier,[462],FOUND,1
132,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,12
138,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,6
142,identifier,[2466],FOUND,1
155,identifier,"[2041, 216, 4745, 4557, 5621]",FOUND,3
160,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,4
161,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785, 5084]",FOUND,3
191,),"[5084, 5307, 5096]",FOUND,2
197,instance_variable,"[2041, 2053, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,6
205,end,"[2041, 2053, 257, 252, 4944, 5777, 5785, 1910, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,15
209,end,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2304, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,21
213,class constant superclass _terminator end,"[2142, 2145, 346, 5593, 5883, 2311, 2376, 2860, 3360, 4770, 4861]",FOUND,25
219,constant superclass _terminator end,[1975],FOUND,5
227,< _expression,"[125, 4668, 5420, 5447, 2041, 217]",FOUND,3
229,constant,[540],FOUND,1
236,end,"[2041, 240, 1909, 23, 2476, 3417, 4008, 5369, 5496]",FOUND,6
240,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2309, 2376, 2860, 3360, 4770, 4868]",FOUND,2
246,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
248,constant,[481],FOUND,1
255,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
256,identifier,[3136],FOUND,1
260,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
265,identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
270,. identifier,"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,7
271,identifier,[3080],FOUND,1
280,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 9, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
284,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
286,constant,[481],FOUND,1
292,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
293,identifier,[3136],FOUND,1
297,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
300,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
301,identifier,[3136],FOUND,1
309,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
310,""" _literal_contents )",[428],FOUND,2
311,string_content,"[428, 5207]",FOUND,1
314,),"[5207, 5307, 5038]",FOUND,1
315,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
317,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3360, 4770, 4868]",FOUND,2
322,identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
325,. identifier,"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,7
326,identifier,[3080],FOUND,1
