Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module constant _terminator body_statement end,"[1, 5883]",FOUND,2
7,constant _terminator body_statement end,[1978],FOUND,1
19,def _method_rest,"[2041, 218, 127, 4668, 5420, 5447]",FOUND,9
23,identifier,[2466],FOUND,1
33,instance_variable,"[2041, 216, 4745, 4557, 5621]",FOUND,6
40,||= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,24
44,[ ],[493],FOUND,5
45,],[424],FOUND,2
49,end,"[2041, 2053, 252, 4944, 5777, 5785, 2437, 2376, 2552, 2779, 2547, 2812, 4589, 4625]",FOUND,11
55,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5805, 2304, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
59,identifier,[2466],FOUND,1
71,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
72,identifier,[4611],FOUND,1
75,),"[5461, 5245, 5499]",FOUND,1
81,identifier,"[2041, 238, 2084, 149]",FOUND,2
86,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
87,identifier,[3163],FOUND,1
91,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
92,identifier,[428],FOUND,1
95,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
99,end,"[2041, 2053, 252, 4944, 5777, 5810, 2455, 2255, 2376, 2552, 2812, 4589, 4625]",FOUND,11
105,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5805, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,6
109,identifier,[2466],FOUND,1
129,identifier,"[2041, 216, 4745, 4557, 5621]",FOUND,3
134,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,1
135,identifier,[3163],FOUND,1
141,end,"[2041, 2053, 252, 4944, 5777, 5785, 1911, 4, 2132, 2552, 2812, 4589, 4625]",FOUND,13
145,end,"[2041, 2053, 257, 252, 4944, 5777, 5805, 2304, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,16
