Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,4
6,constant _terminator body_statement end,[1975],FOUND,1
16,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
20,identifier,[2466],FOUND,1
34,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
35,identifier,[4611],FOUND,1
36,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
38,* identifier,[4622],FOUND,5
39,identifier,"[4759, 5283, 5245, 5268, 5515]",FOUND,3
43,),"[4846, 5283, 5245, 5268, 5515]",FOUND,1
49,if _statement then else end,"[2041, 238, 2109, 149]",FOUND,7
52,identifier,[406],FOUND,1
53,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4839]",FOUND,1
54,identifier,[3163],FOUND,1
58,. _function_identifier,"[1911, 4, 2132, 2552, 2812, 4589, 4839]",FOUND,7
59,identifier_suffix_token1,[3163],FOUND,2
70,( _argument_list_with_trailing_comma ),"[1915, 1914, 1911, 4, 2132, 2552, 2812, 4589, 4839]",FOUND,3
71,""" _literal_contents )",[428],FOUND,2
72,string_content,"[428, 5207]",FOUND,1
82,),"[5207, 5307, 5038]",FOUND,1
83,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
91,identifier,"[2041, 264, 2455, 2255, 2376, 2552, 2812, 4589, 4839]",FOUND,9
96,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5300]",FOUND,4
97,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5300, 5084]",FOUND,3
113,#{ _statements },"[5084, 5307, 5096]",FOUND,4
115,identifier,[357],FOUND,1
116,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
117,identifier,[3163],FOUND,1
121,. identifier,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
122,identifier,[3163],FOUND,1
127,( _argument_list_with_trailing_comma ),"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,4
128,""" _literal_contents )",[428],FOUND,2
129,string_content,"[428, 5207]",FOUND,1
130,),"[5207, 5307, 5038]",FOUND,1
131,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
132,. identifier,"[2455, 2255, 2376, 2552, 2812, 4589, 4625, 5807]",FOUND,1
133,identifier,[3163],FOUND,1
137,. identifier,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
138,identifier,[3163],FOUND,1
148,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
149,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
150,),"[5302, 5307, 5177, 5096]",FOUND,1
181,else _terminator _statements,"[2041, 2053, 252, 5095, 5300, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,13
192,super,"[2041, 289, 5702, 268]",FOUND,9
202,end,"[2041, 2053, 252, 5368, 5702, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,19
208,end,"[2041, 2053, 252, 4944, 5777, 5810, 2325, 2376, 2552, 2812, 4589, 4625]",FOUND,11
212,end,"[2041, 2053, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,21
217,constant,"[2142, 2145, 346, 5593, 5883, 2311, 2376, 2860, 3360, 4770, 4861]",FOUND,6
224,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
225,identifier,[3136],FOUND,1
228,. identifier,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,3
229,identifier,[3136],FOUND,1
