Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
6,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
7,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
23,),"[5084, 5307, 5096]",FOUND,2
25,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
27,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
29,identifier,[481],FOUND,2
33,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
34,identifier,[3136],FOUND,1
39,begin _terminator _body_statement end,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,20
47,identifier,"[2041, 247, 199]",FOUND,2
54,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5983]",FOUND,3
56,integer,[462],FOUND,6
60,/ _arg,"[2226, 2286, 2380, 2376, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5983, 5554]",FOUND,33
62,identifier,[1252],FOUND,2
64,rescue exceptions then,"[2041, 2053, 252, 4944, 5983, 2079, 2044, 2140, 2501, 2747, 2547, 2715, 2812, 4589, 4625]",FOUND,43
71,constant,"[677, 2041, 282, 5404, 4995, 5983]",FOUND,2
91,identifier,"[2041, 281, 5404, 4995, 5983, 2079, 2044, 2487, 2501, 3922, 5060]",FOUND,9
96,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5482, 5404, 4995, 5983]",FOUND,4
97,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5482, 5404, 4995, 5983, 5084]",FOUND,3
136,),"[5084, 5307, 5096]",FOUND,2
140,identifier,"[2041, 2053, 252, 5095, 5482, 5404, 4995, 5983, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
145,end,"[2041, 2053, 257, 252, 5095, 5482, 5404, 4995, 5983, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,28
149,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2426, 2376, 2860, 3360, 4770, 4868]",FOUND,2
154,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
155,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
159,#{ _statements },"[5084, 5307, 5096]",FOUND,4
161,identifier,[357],FOUND,1
162,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
163,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
167,#{ _statements },"[5302, 5307, 5177, 5096]",FOUND,4
169,identifier,[357],FOUND,1
175,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
176,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
177,),"[5302, 5307, 5177, 5096]",FOUND,1
