Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,4
6,constant _terminator body_statement end,[1975],FOUND,1
14,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
18,identifier,[2466],FOUND,1
30,identifier,"[2041, 216, 4745, 4557, 5621]",FOUND,3
32,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,3
34,integer,[462],FOUND,6
40,until _statement do,"[2041, 2053, 252, 4944, 5777, 5785, 2226, 2286, 2380, 2376, 2552, 2715, 2547, 2812, 4589, 4625, 5554]",FOUND,98
46,identifier,[404],FOUND,1
48,== _arg,"[1909, 32, 2201, 2968, 3520, 4837, 4827]",FOUND,8
51,identifier,[1057],FOUND,1
62,yield argument_list,"[2041, 360, 2079, 2048, 2202, 3000, 3506, 2547, 3520, 4837, 4827]",FOUND,17
67,( _argument_list_with_trailing_comma ),"[51, 2376, 2552, 2812, 4589, 4625, 5954]",FOUND,42
68,self,[428],FOUND,20
72,[ _argument_list_with_trailing_comma ],"[1954, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,6
73,identifier,"[1954, 34, 2499, 3515, 3995, 5317, 5442, 5815, 440]",FOUND,17
74,],"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5848]",FOUND,5
75,),"[2191, 2221, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
83,identifier,"[2041, 2053, 252, 5954, 2455, 2317, 2376, 2552, 2812, 4589, 4625]",FOUND,2
85,+= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 5954]",FOUND,27
88,integer,[493],FOUND,1
94,end,"[2041, 2053, 257, 252, 5954, 2226, 2286, 2380, 2376, 2552, 2779, 2547, 2812, 4589, 4626, 5554]",FOUND,39
102,self,"[2041, 2053, 257, 252, 4944, 5777, 5785, 2338, 2373, 2376, 2552, 2812, 4589, 4626]",FOUND,34
109,end,"[2041, 2053, 257, 252, 4944, 5777, 5785, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,15
113,end,"[2041, 2053, 252, 4944, 5777, 5828, 2304, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,21
