Location,Ground_Truth,State_List,Coverage_Result,Rank
0,def _method_rest,"[1, 5883]",FOUND,13
4,identifier,[2301],FOUND,1
18,identifier,"[2041, 216, 4745, 4540, 5604]",FOUND,1
24,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,4
25,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785, 5084]",FOUND,3
56,),"[5084, 5307, 5096]",FOUND,2
60,identifier,"[2041, 2053, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
67,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,3
69,identifier,[462],FOUND,1
73,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,2
74,identifier,[3163],FOUND,1
82,case _statement _terminator case_repeat1 else end,"[2041, 2053, 257, 252, 4944, 5777, 5785, 1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,80
87,identifier,"[283, 386, 5250]",FOUND,1
96,when pattern then,"[5437, 4908, 1909, 3, 2132, 2552, 2812, 4589, 4610]",FOUND,28
101,""" _literal_contents )",[810],FOUND,1
102,string_content,"[810, 5084]",FOUND,1
105,),"[5084, 5307, 5096]",FOUND,2
111,identifier,"[2041, 301, 5505, 5261, 2259, 2234, 2501, 4076, 5051]",FOUND,6
116,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5261]",FOUND,4
117,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5261, 5084]",FOUND,3
126,),"[5084, 5307, 5096]",FOUND,2
132,identifier,"[2041, 2053, 252, 5095, 5576, 5505, 5261, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
139,when pattern then,"[2041, 2053, 257, 252, 5095, 5576, 5505, 5261, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,28
144,""" _literal_contents )",[810],FOUND,1
145,string_content,"[810, 5084]",FOUND,1
147,),"[5084, 5307, 5096]",FOUND,2
153,identifier,"[2041, 301, 5505, 5316, 5261, 2259, 2234, 2501, 4076, 5051]",FOUND,6
158,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5316, 5261]",FOUND,4
159,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5316, 5261, 5084]",FOUND,3
177,),"[5084, 5307, 5096]",FOUND,2
181,else _terminator _statements,"[2041, 2053, 252, 5095, 5576, 5505, 5316, 5261, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,31
190,identifier,"[2041, 289, 5797, 268]",FOUND,2
195,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5368, 5797]",FOUND,4
196,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5368, 5797, 5084]",FOUND,3
251,),"[5084, 5307, 5096]",FOUND,2
255,end,"[2041, 2053, 252, 5368, 5797, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,27
261,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5785, 2401, 2376, 2552, 2812, 4589, 4626]",FOUND,3
266,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,4
267,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785, 5084]",FOUND,3
294,),"[5084, 5307, 5096]",FOUND,2
298,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
310,end,"[2041, 2053, 257, 252, 4944, 5777, 5785, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,15
314,identifier,"[2142, 2145, 346, 5593, 5883, 2304, 2287, 2376, 2860, 3360, 4770, 4861]",FOUND,1
