Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
5,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
7,""" _literal_contents )",[481],FOUND,3
8,string_content,"[481, 5084]",FOUND,1
22,),"[5084, 5307, 5096]",FOUND,2
24,if _statement then else end,"[2142, 2145, 346, 5593, 5883, 2259, 2234, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,24
27,identifier,[406],FOUND,1
29,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4839]",FOUND,2
31,/ _literal_contents ),[462],FOUND,16
32,string_content,"[462, 5048]",FOUND,6
34,),"[5048, 5307, 5167]",FOUND,3
35,. identifier,"[5307, 5167, 2335, 2376, 2552, 2715, 2547, 2812, 4589, 4839]",FOUND,1
36,identifier,[3163],FOUND,1
41,( _argument_list_with_trailing_comma ),"[1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4839]",FOUND,3
42,identifier,[428],FOUND,1
46,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
50,identifier,"[2041, 264, 2455, 2255, 2376, 2552, 2715, 2547, 2812, 4589, 4839]",FOUND,9
55,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5300]",FOUND,4
56,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5300, 5084]",FOUND,3
70,),"[5084, 5307, 5096]",FOUND,2
74,identifier,"[2041, 2053, 252, 5095, 5300, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
80,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 5095, 5300]",FOUND,4
81,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 5095, 5300, 5084]",FOUND,3
123,),"[5084, 5307, 5096]",FOUND,2
127,identifier,"[2041, 2053, 257, 252, 5095, 5300, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
132,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 5095, 5300]",FOUND,13
133,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 5095, 5300]",FOUND,6
134,identifier,[3097],FOUND,1
146,identifier,"[2041, 2053, 257, 252, 5095, 5300, 1911, 7, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
152,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 5095, 5300]",FOUND,4
153,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 5095, 5300, 5084]",FOUND,3
193,),"[5084, 5307, 5096]",FOUND,2
197,identifier,"[2041, 2053, 257, 252, 5095, 5300, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
202,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 5095, 5300]",FOUND,13
203,. identifier,"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626, 5095, 5300]",FOUND,6
204,identifier,[3097],FOUND,1
215,else _terminator _statements,"[2041, 2053, 257, 252, 5095, 5300, 1911, 7, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,15
222,identifier,"[2041, 289, 5702, 268]",FOUND,3
227,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5368, 5702]",FOUND,4
228,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5368, 5702, 5084]",FOUND,3
236,),"[5084, 5307, 5096]",FOUND,2
238,end,"[2041, 2053, 252, 5368, 5702, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,11
