Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,5
6,constant _terminator body_statement end,[1975],FOUND,1
15,identifier,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,5
29,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828]",FOUND,10
34,", _argument","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515]",FOUND,8
36,simple_symbol,[451],FOUND,3
42,", _argument","[451, 2380, 2376, 2506, 2696, 4482, 4502, 4533, 4466, 4515, 4589, 4625, 4944, 5777, 5828]",FOUND,7
44,simple_symbol,[451],FOUND,3
52,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2380, 2376, 2506, 2696, 4482, 4502, 4521, 4533, 4466, 4515, 4589, 4625]",FOUND,4
56,identifier,[2466],FOUND,1
66,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
67,identifier,[4611],FOUND,1
71,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
73,identifier,[4622],FOUND,1
78,", _formal_parameter","[5461, 5245, 5268, 5515]",FOUND,2
80,identifier,[4622],FOUND,1
84,),"[5461, 5245, 5268, 5567, 5515]",FOUND,1
90,self,"[2041, 238, 2109, 149]",FOUND,13
94,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
95,identifier,[3163],FOUND,1
100,= _arg,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
102,identifier,[462],FOUND,1
111,self,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,39
115,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,2
116,identifier,[3163],FOUND,1
122,= _arg,"[1911, 4, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
124,identifier,[462],FOUND,1
134,self,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,38
138,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,2
