Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,4
6,constant _terminator body_statement end,[1975],FOUND,1
17,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
21,identifier,[2466],FOUND,1
28,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
29,identifier,[4611],FOUND,1
30,),"[5461, 5245, 5499]",FOUND,1
36,case _statement _terminator case_repeat1 else end,"[2041, 238, 2084, 149]",FOUND,14
41,integer,"[283, 386, 5250]",FOUND,8
47,when pattern then,"[5437, 4908, 2226, 2286, 2380, 2376, 2552, 2812, 4589, 4610, 5554]",FOUND,14
52,identifier,[810],FOUND,5
54,% _arg,"[2079, 2044, 2487, 2501, 4076, 5051]",NOT_FOUND,0
56,integer,[1670],NOT_FOUND,0
65,""" _literal_contents )","[2041, 301, 5505, 5261, 3004, 2286, 2380, 2376, 2501, 3978, 2547, 4076, 5051, 5554]",FOUND,15
66,string_content,"[2041, 301, 5505, 5261, 5084]",FOUND,1
74,),"[5084, 5307, 5096]",FOUND,2
80,when pattern then,"[2041, 2053, 252, 5095, 5576, 5505, 5261, 2259, 2234, 2552, 2812, 4589, 4625]",FOUND,20
85,identifier,[810],FOUND,5
87,% _arg,"[2079, 2044, 2487, 2501, 4076, 5051]",NOT_FOUND,0
89,integer,[1670],NOT_FOUND,0
97,""" _literal_contents )","[2041, 301, 5505, 5316, 5261, 3004, 2286, 2380, 2376, 2501, 3978, 2547, 4076, 5051, 5554]",FOUND,15
98,string_content,"[2041, 301, 5505, 5316, 5261, 5084]",FOUND,1
102,),"[5084, 5307, 5096]",FOUND,2
108,when pattern then,"[2041, 2053, 252, 5095, 5576, 5505, 5316, 5261, 2259, 2234, 2552, 2812, 4589, 4625]",FOUND,20
113,identifier,[810],FOUND,5
115,% _arg,"[2079, 2044, 2487, 2501, 4076, 5051]",NOT_FOUND,0
117,integer,[1670],NOT_FOUND,0
125,""" _literal_contents )","[2041, 301, 5505, 5316, 5261, 3004, 2286, 2380, 2376, 2501, 3978, 2547, 4076, 5051, 5554]",FOUND,15
126,string_content,"[2041, 301, 5505, 5316, 5261, 5084]",FOUND,1
130,),"[5084, 5307, 5096]",FOUND,2
136,else _terminator _statements,"[2041, 2053, 252, 5095, 5576, 5505, 5316, 5261, 2259, 2234, 2552, 2812, 4589, 4625]",FOUND,40
147,identifier,"[2041, 289, 5797, 268]",FOUND,2
148,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5368, 5797]",FOUND,1
149,identifier,[3163],FOUND,1
158,end,"[2041, 2053, 252, 5368, 5797, 1911, 4, 2132, 2552, 2812, 4589, 4625]",FOUND,45
164,end,"[2041, 2053, 252, 4944, 5777, 5810, 2401, 2376, 2552, 2812, 4589, 4625]",FOUND,11
170,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
174,identifier,[2466],FOUND,1
176,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
177,identifier,[4611],FOUND,1
178,),"[5461, 5245, 5499]",FOUND,1
184,( _statements ),"[2041, 238, 2084, 149]",FOUND,21
185,integer,[329],FOUND,2
186,.. _arg,"[2226, 2286, 2380, 2376, 2552, 2812, 4589, 4625, 5760, 5554]",FOUND,18
188,constant,"[279, 2547, 2812, 4589, 4625, 5760]",FOUND,40
193,:: constant,"[2079, 2044, 2139, 2501, 2801, 2547, 2812, 4589, 4625, 5760]",FOUND,7
195,constant,[3134],FOUND,1
203,),"[2081, 2108, 2139, 2501, 2801, 2547, 2812, 4589, 4625, 5760, 2046]",FOUND,3
204,. identifier,"[2354, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
205,identifier,[3163],FOUND,1
