Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,5
6,constant _terminator body_statement end,[1975],FOUND,1
17,identifier,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,5
25,constant,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828]",FOUND,14
38,identifier,"[2041, 2053, 252, 4944, 5777, 5828, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
50,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5828]",FOUND,11
59,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,5
63,identifier,[2466],FOUND,1
73,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
74,identifier,[4611],FOUND,1
79,),"[5461, 5245, 5499]",FOUND,1
85,instance_variable,"[2041, 238, 2084, 149]",FOUND,3
92,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
94,identifier,[462],FOUND,1
102,end,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,11
108,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,6
112,<=>,[2466],FOUND,9
115,( _formal_parameter ),"[4460, 4443, 4557]",FOUND,2
116,identifier,[4611],FOUND,1
130,),"[5461, 5245, 5499]",FOUND,1
136,self,"[2041, 238, 2084, 149]",FOUND,13
140,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
141,identifier,[3163],FOUND,1
147,<=> _arg,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,43
151,identifier,[1220],FOUND,4
165,. identifier,"[2079, 2044, 2139, 2501, 2776, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
166,identifier,[3133],FOUND,1
174,end,"[2041, 2053, 252, 4944, 5777, 5810, 2078, 2046, 2139, 2501, 2776, 2547, 2812, 4589, 4625]",FOUND,7
