Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
8,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
9,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
17,),"[5084, 5307, 5096]",FOUND,2
19,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
36,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
37,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
48,),"[5084, 5307, 5096]",FOUND,2
50,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
57,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
59,heredoc_beginning,[481],FOUND,13
64,heredoc_content,"[481, 5075, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,2
161,heredoc_end,"[5075, 5988, 2376, 5303, 5049]",FOUND,2
165,identifier,"[2142, 2145, 355, 346, 5593, 5883, 5075, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
172,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,6
174,constant,"[481, 5075]",FOUND,2
182,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,4
183,identifier,"[3136, 5075]",FOUND,2
186,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,6
187,identifier,"[428, 5075]",FOUND,1
193,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815, 5075]",FOUND,1
195,identifier,"[2142, 2145, 355, 346, 5593, 5883, 5075, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
203,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,6
205,constant,"[481, 5075]",FOUND,2
213,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,4
214,identifier,"[3136, 5075]",FOUND,2
217,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,6
218,""" )","[428, 5075]",FOUND,18
219,),"[428, 5075, 5207]",FOUND,10
220,),"[5207, 5075, 2866, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
222,constant,"[2142, 2145, 355, 346, 5593, 5883, 5075, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,7
233,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,5
234,identifier,"[3136, 5075]",FOUND,2
243,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,8
244,identifier,"[428, 5075]",FOUND,1
250,", _argument","[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815, 5075]",FOUND,2
252,identifier,"[432, 5815, 5075]",FOUND,3
259,),"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5467, 5815, 5075]",FOUND,1
261,identifier,"[2142, 2145, 355, 346, 5593, 5883, 5075, 2455, 2255, 2376, 2860, 3360, 4770, 4868]",FOUND,2
266,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5075]",FOUND,2
267,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5075, 5084]",FOUND,1
281,),"[5084, 5075, 5307, 5096]",FOUND,2
283,if _expression,"[2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883, 5075]",FOUND,10
286,identifier,"[543, 5075]",FOUND,3
293,. identifier,"[1924, 8, 2182, 2860, 3360, 4821, 4579, 4868, 5593, 5883, 5075]",FOUND,5
294,identifier,"[3136, 5075]",FOUND,2
301,== _arg,"[1930, 11, 2182, 2860, 3360, 4821, 4579, 4868, 5593, 5883, 5075]",FOUND,30
304,heredoc_beginning,"[1715, 5075]",NOT_FOUND,0
309,heredoc_content,"[1715, 5075, 2376, 2501, 3426, 2547, 3360, 4821, 4579, 4868, 5593, 5883]",FOUND,3
360,heredoc_end,"[5075, 5988, 2376, 5303, 5049]",FOUND,2
