Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
6,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
8,integer,[481],FOUND,4
10,identifier,"[2142, 2145, 346, 5593, 5883, 2226, 2286, 2380, 2376, 2860, 3182, 2547, 3360, 4770, 4861, 5554]",FOUND,1
21,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
23,constant,[481],FOUND,1
27,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
28,identifier,[3136],FOUND,1
37,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
38,""" _literal_contents )",[428],FOUND,2
39,string_content,"[428, 5207]",FOUND,1
50,),"[5207, 5307, 5038]",FOUND,1
51,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
52,. identifier,"[2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,4
53,identifier,[3136],FOUND,1
59,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
60,integer,[428],FOUND,6
61,),"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5815, 5560]",FOUND,1
63,do block_parameters _terminator body_statement end,"[2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
66,| _formal_parameter parameters_repeat1 |,"[147, 2041, 170]",FOUND,4
67,identifier,[4575],FOUND,1
72,", _formal_parameter","[5315, 5245, 5489]",FOUND,2
73,identifier,[4588],FOUND,1
77,|,"[5315, 5245, 5268, 5372]",FOUND,1
81,identifier,"[2041, 242, 2120, 194]",FOUND,2
87,+= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,29
90,integer,[493],FOUND,1
94,identifier,"[2041, 2053, 252, 4944, 5777, 5923, 2226, 2286, 2380, 2376, 2552, 2779, 2547, 2812, 4589, 4625, 5554]",FOUND,2
101,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,3
103,identifier,[462],FOUND,1
107,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,2
108,identifier,[3163],FOUND,1
116,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5923, 1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,3
120,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,3
122,identifier,[462],FOUND,1
128,[ _argument_list_with_trailing_comma ],"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,7
129,integer,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5923, 431]",FOUND,13
130,],"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5683, 5560]",FOUND,3
131,. identifier,"[2061, 2108, 2130, 2552, 2715, 2547, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,2
132,identifier,[3163],FOUND,1
139,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5923, 1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,3
145,+ _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5923]",FOUND,26
147,identifier,[1174],FOUND,2
151,end,"[2041, 2053, 257, 252, 4944, 5777, 5923, 2079, 2044, 2139, 2501, 2814, 2547, 2812, 4589, 4626]",FOUND,8
155,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2408, 2448, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
160,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,2
161,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883, 5084]",FOUND,1
183,#{ _statements },"[5084, 5307, 5096]",FOUND,4
185,identifier,[357],FOUND,1
196,/ _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,47
198,identifier,[1175],FOUND,2
204,},"[2079, 2044, 2139, 2501, 2817, 2547, 2812, 4589, 4625, 5807]",FOUND,3
205,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
206,),"[5302, 5307, 5177, 5096]",FOUND,1
