Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,4
6,constant _terminator body_statement end,[1975],FOUND,1
15,identifier,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,5
29,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828]",FOUND,10
38,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,4
42,identifier,[2466],FOUND,1
52,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
53,identifier,[4611],FOUND,1
57,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
59,& identifier,[4622],FOUND,3
60,identifier,"[5196, 5283, 5245, 5268, 5515]",FOUND,3
65,),"[5247, 5283, 5245, 5268, 5515]",FOUND,1
71,instance_variable,"[2041, 238, 2109, 149]",FOUND,3
77,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
79,identifier,[462],FOUND,1
88,instance_variable,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,6
95,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
97,identifier,[462],FOUND,1
105,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,12
112,def _method_rest,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,6
116,identifier,[2466],FOUND,1
128,instance_variable,"[2041, 216, 4745, 4557, 5621]",FOUND,6
137,end,"[2041, 2053, 252, 4944, 5777, 5785, 1910, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,14
141,end,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2304, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,21
146,identifier,"[2142, 2145, 346, 5593, 5883, 2311, 2376, 2860, 3360, 4770, 4861]",FOUND,1
148,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
150,constant,[481],FOUND,1
156,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
157,identifier,[3136],FOUND,1
160,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
161,""" _literal_contents )",[428],FOUND,2
162,string_content,"[428, 5207]",FOUND,1
167,),"[5207, 5307, 5038]",FOUND,1
168,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
170,{ block_parameters block_body },"[2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,6
171,| _formal_parameter |,[303],FOUND,4
172,identifier,[4572],FOUND,1
173,|,"[5315, 5245, 5374]",FOUND,1
175,identifier,"[2156, 318]",FOUND,1
180,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,4
181,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814, 5084]",FOUND,3
194,),"[5084, 5307, 5096]",FOUND,2
196,},"[2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625, 5893, 5814]",FOUND,5
198,[ _argument_list_with_trailing_comma ],"[2142, 2145, 355, 346, 5593, 5883, 2369, 2449, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,12
199,integer,[424],FOUND,1
200,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5827, 5560]",FOUND,1
201,integer,"[432, 5827]",FOUND,3
202,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5467, 5827, 5560]",FOUND,1
203,integer,"[435, 5827]",FOUND,1
204,],"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5827, 5560]",FOUND,3
205,. identifier,"[2379, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
206,identifier,[3136],FOUND,1
209,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
210,& _arg,[428],FOUND,10
211,identifier,"[428, 808, 5002, 5442, 5815]",FOUND,3
212,),"[2206, 2168, 2346, 3192, 4142, 5002, 5442, 5815]",FOUND,1
