Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
8,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
9,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
14,),"[5084, 5307, 5096]",FOUND,2
16,identifier,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,2
21,", _lhs","[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,24
23,identifier,"[1960, 5630, 5899]",FOUND,1
29,", _lhs","[4773, 4668, 5022, 5304, 5630, 5899, 5471]",FOUND,1
31,identifier,"[1959, 5630, 5899]",FOUND,1
38,= _arg,"[4773, 4668, 5022, 5301, 5304, 5630, 5899, 5471]",FOUND,6
40,constant,[481],FOUND,1
45,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
46,identifier,[3136],FOUND,1
52,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
53,""" _literal_contents )",[428],FOUND,2
54,string_content,"[428, 5207]",FOUND,1
57,),"[5207, 5307, 5038]",FOUND,1
58,),"[5307, 5038, 2835, 3184, 3515, 3995, 5317, 5442, 5815]",FOUND,1
60,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
62,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
64,constant,[481],FOUND,1
70,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
71,identifier,[3136],FOUND,1
75,do _terminator body_statement end,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,30
80,identifier,"[2041, 170, 147]",FOUND,3
85,{ block_body },"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5833]",FOUND,21
87,identifier,[255],FOUND,2
92,. identifier,"[1921, 3, 2132, 2552, 3539, 4589, 4625, 5893, 5885]",FOUND,1
93,identifier,[3163],FOUND,1
98,identifier,"[1911, 4, 2132, 2552, 3539, 4589, 4625, 5893, 5885]",FOUND,5
103,},"[1714, 2, 2124, 2506, 2696, 4482, 4522, 4442, 4515, 4589, 4625, 5893, 5885]",FOUND,4
105,end,"[2041, 2053, 252, 4944, 5777, 5833, 2440, 2318, 2376, 2552, 2812, 4589, 4625]",FOUND,11
109,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2375, 2306, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
111,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
113,constant,[481],FOUND,1
119,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
120,identifier,[3136],FOUND,1
