Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module constant _terminator body_statement end,"[1, 5883]",FOUND,2
7,constant _terminator body_statement end,[1978],FOUND,1
22,constant,"[2041, 218, 127, 4668, 5420, 5447]",FOUND,6
28,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5805]",FOUND,3
30,%w( string_array_token1 _literal_contents string_array_repeat1 string_array_token1 ),[462],FOUND,28
33,string_array_token1 _literal_contents string_array_repeat1 string_array_token1 ),"[462, 4979]",FOUND,25
34,string_content,[4982],FOUND,1
35,string_array_token1 _literal_contents,"[4982, 5234, 4888]",FOUND,2
36,string_content,[5203],FOUND,1
37,string_array_token1 _literal_contents,"[5203, 5234, 5035, 5568]",FOUND,1
38,string_content,[5047],FOUND,1
39,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
40,string_content,[5047],FOUND,1
41,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
42,string_content,[5047],FOUND,1
43,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
44,string_content,[5047],FOUND,1
45,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
46,string_content,[5047],FOUND,1
47,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
48,string_content,[5047],FOUND,1
49,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
50,string_content,[5047],FOUND,1
52,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
53,string_content,[5047],FOUND,1
54,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
55,string_content,[5047],FOUND,1
56,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
57,string_content,[5047],FOUND,1
58,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
59,string_content,[5047],FOUND,1
60,string_array_token1 ),"[5047, 5234, 5035, 5569, 5568]",FOUND,4
61,),[5047],FOUND,2
65,constant,"[2041, 2053, 252, 4944, 5777, 5805, 2385, 2376, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,10
71,= _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5805]",FOUND,3
73,%w( string_array_token1 _literal_contents string_array_repeat1 string_array_token1 ),[462],FOUND,28
76,string_array_token1 _literal_contents string_array_repeat1 string_array_token1 ),"[462, 4979]",FOUND,25
77,string_content,[4982],FOUND,1
82,string_array_token1 _literal_contents,"[4982, 5234, 4888]",FOUND,2
83,string_content,[5203],FOUND,1
91,string_array_token1 _literal_contents,"[5203, 5234, 5035, 5568]",FOUND,1
92,string_content,[5047],FOUND,1
98,string_array_token1 _literal_contents,"[5047, 5234, 5035, 5569, 5568]",FOUND,2
99,string_content,[5047],FOUND,1
105,string_array_token1 ),"[5047, 5234, 5035, 5569, 5568]",FOUND,4
106,),[5047],FOUND,2
110,class constant _terminator body_statement end,"[2041, 2053, 257, 252, 4944, 5777, 5805, 2385, 2376, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,41
116,constant _terminator body_statement end,[1975],FOUND,1
125,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
129,identifier,[2466],FOUND,1
146,instance_variable,"[2041, 216, 4745, 4557, 5621]",FOUND,6
153,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,3
155,[ ],[462],FOUND,8
156,],[424],FOUND,2
164,constant,"[2041, 2053, 252, 4944, 5777, 5785, 2437, 2376, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,10
169,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,2
170,identifier,[3163],FOUND,1
175,do block_parameters _terminator body_statement end,"[1911, 4, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,13
178,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
179,identifier,[4575],FOUND,1
180,|,"[5315, 5245, 5489]",FOUND,1
190,constant,"[2041, 242, 2118, 194]",FOUND,3
195,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
196,identifier,[3163],FOUND,1
201,do block_parameters _terminator body_statement end,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,13
204,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
205,identifier,[4575],FOUND,1
206,|,"[5315, 5245, 5489]",FOUND,1
218,instance_variable,"[2041, 242, 2118, 194]",FOUND,5
225,<< _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,12
228,""" _literal_contents )",[1219],FOUND,2
229,#{ _statements },"[1219, 5084]",FOUND,6
231,identifier,[357],FOUND,1
232,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
233,string_content,"[5302, 5307, 5096]",FOUND,3
