Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
10,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
12,{ },[481],FOUND,9
13,},[741],FOUND,1
15,identifier,"[2142, 2145, 346, 5593, 5883, 2391, 2376, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,1
28,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
30,constant,[481],FOUND,1
41,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
42,identifier,[3136],FOUND,1
53,( _argument_list_with_trailing_comma ),"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,5
54,constant,[428],FOUND,3
59,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
60,. identifier,"[2455, 2255, 2376, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,4
61,identifier,[3136],FOUND,1
68,do block_parameters _terminator body_statement end,"[1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,23
71,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
72,identifier,[4575],FOUND,1
73,|,"[5315, 5245, 5489]",FOUND,1
77,identifier,"[2041, 242, 2118, 194]",FOUND,2
78,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
79,identifier,[3163],FOUND,1
88,. _function_identifier,"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,8
89,identifier_suffix_token1,[3163],FOUND,2
97,( _argument_list_with_trailing_comma ),"[1915, 1914, 1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
98,constant,[428],FOUND,3
108,),"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
110,&& _arg,"[2455, 2255, 2376, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,11
113,identifier,[1202],FOUND,1
114,. identifier,"[2079, 2044, 2139, 2501, 2788, 2547, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
115,identifier,[3133],FOUND,1
120,end,"[2041, 2053, 252, 4944, 5777, 5923, 2078, 2046, 2139, 2501, 2788, 2547, 2812, 4589, 4625]",FOUND,7
125,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2408, 2306, 2376, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
137,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
138,identifier,[3136],FOUND,1
145,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
146,& _arg,[428],FOUND,10
147,simple_symbol,"[428, 808, 5002, 5442, 5815]",FOUND,6
152,),"[808, 5002, 5442, 5815, 3026, 3027, 3192, 4142]",FOUND,1
153,. identifier,"[2455, 2255, 2376, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
154,identifier,[3136],FOUND,1
159,do block_parameters _terminator body_statement end,"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,11
162,| _formal_parameter |,"[147, 2041, 170]",FOUND,2
163,identifier,[4575],FOUND,1
164,|,"[5315, 5245, 5489]",FOUND,1
168,identifier,"[2041, 242, 2118, 194]",FOUND,2
177,[ _argument_list_with_trailing_comma ],"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,9
178,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923, 431]",FOUND,12
179,],"[1951, 34, 2499, 3515, 3995, 5317, 5442, 5683]",FOUND,3
181,= _arg,"[2061, 2108, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,3
183,identifier,[462],FOUND,1
184,. identifier,"[1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,1
185,identifier,[3163],FOUND,1
201,( _argument_list_with_trailing_comma ),"[1911, 6, 2130, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
202,false,[428],FOUND,18
207,),"[2221, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
209,& _arg,"[2455, 2255, 2376, 2552, 2715, 2547, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,40
215,constant,[1255],FOUND,4
225,. identifier,"[2079, 2044, 2140, 2501, 2750, 2547, 2715, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,4
226,identifier,[3133],FOUND,1
242,( _argument_list_with_trailing_comma ),"[2078, 2046, 2140, 2501, 2750, 2547, 2715, 2812, 4589, 4625, 4944, 5777, 5923]",FOUND,8
243,false,[428],FOUND,18
248,),"[2221, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,1
250,end,"[2041, 2053, 252, 4944, 5777, 5923, 2455, 2255, 2376, 2501, 2750, 2547, 2715, 2812, 4589, 4625]",FOUND,7
254,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2408, 2306, 2376, 2860, 3360, 4770, 4868]",FOUND,2
263,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
264,identifier,[3136],FOUND,1
274,{ block_parameters block_body },"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
276,| _formal_parameter parameters_repeat1 |,[255],FOUND,3
277,identifier,[4572],FOUND,1
278,", _formal_parameter","[5315, 5245, 5374]",FOUND,2
280,identifier,[4590],FOUND,1
287,|,"[5315, 5245, 5268, 5350]",FOUND,1
289,identifier,"[2163, 318]",FOUND,1
296,. _function_identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,8
297,identifier_suffix_token1,[3163],FOUND,2
