Location,Ground_Truth,State_List,Coverage_Result,Rank
0,module constant _terminator body_statement end,"[1, 5883]",FOUND,2
7,constant _terminator body_statement end,[1978],FOUND,1
11,def _variable . _method_rest,"[2041, 218, 127, 4668, 5420, 5447]",FOUND,10
15,self,[2466],FOUND,2
19,. _method_rest,"[5628, 5621]",FOUND,1
20,identifier,[2538],FOUND,1
28,( _formal_parameter ),"[4864, 4557]",FOUND,2
29,identifier,[4611],FOUND,1
30,),"[5461, 5245, 5499]",FOUND,1
36,identifier,"[2041, 238, 2084, 149]",FOUND,2
41,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
42,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810, 5084]",FOUND,3
70,#{ _statements },"[5084, 5307, 5096]",FOUND,4
72,identifier,[357],FOUND,1
73,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
74,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
75,),"[5302, 5307, 5177, 5096]",FOUND,1
79,end,"[2041, 2053, 252, 4944, 5777, 5810, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,8
83,end,"[2041, 2053, 252, 4944, 5777, 5805, 2393, 2425, 2376, 2552, 2812, 4589, 4625]",FOUND,15
87,class constant _terminator body_statement end,"[2142, 2145, 346, 5593, 5883, 2314, 2376, 2860, 3360, 4770, 4861]",FOUND,11
93,constant _terminator body_statement end,[1975],FOUND,1
97,identifier,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,5
105,constant,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828]",FOUND,14
107,end,"[2041, 2053, 252, 4944, 5777, 5828, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,19
