Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
4,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,5
6,constant,[481],FOUND,1
12,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4861, 5593, 5883]",FOUND,2
13,identifier,[3136],FOUND,1
17,class << _arg _terminator body_statement end,"[2142, 2145, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4861]",FOUND,36
23,<< _arg _terminator body_statement end,[1975],FOUND,3
26,identifier,[1268],FOUND,2
32,def _method_rest,"[2041, 239, 2079, 2044, 2486, 2501, 4209]",FOUND,8
36,identifier,[2466],FOUND,1
58,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
59,identifier,[4611],FOUND,1
60,),"[5461, 5245, 5499]",FOUND,1
66,identifier,"[2041, 238, 2084, 149]",FOUND,2
71,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,4
72,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810, 5084]",FOUND,3
89,#{ _statements },"[5084, 5307, 5096]",FOUND,4
91,identifier,[357],FOUND,1
92,},"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
93,string_content,"[5302, 5307, 5177, 5096]",FOUND,3
111,),"[5302, 5307, 5177, 5096]",FOUND,1
115,end,"[2041, 2053, 252, 4944, 5777, 5810, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,8
121,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5673, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
125,identifier,[2466],FOUND,1
150,end,"[2041, 216, 4745, 4557, 5621]",FOUND,10
154,end,"[2041, 2053, 257, 252, 4944, 5777, 5673, 2423, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,45
