Location,Ground_Truth,State_List,Coverage_Result,Rank
0,def _method_rest,"[1, 5883]",FOUND,13
4,identifier,[2301],FOUND,1
8,identifier,"[2041, 216, 4745, 4540, 5604]",FOUND,1
10,end,"[2041, 2053, 252, 4944, 5777, 5785, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,14
14,def _method_rest,"[2142, 2145, 346, 5593, 5883, 2304, 2287, 2376, 2860, 3360, 4770, 4861]",FOUND,7
18,identifier,[2301],FOUND,1
22,identifier,"[2041, 216, 4745, 4540, 5604]",FOUND,1
24,end,"[2041, 2053, 252, 4944, 5777, 5785, 1909, 3, 2132, 2552, 2812, 4589, 4625]",FOUND,14
28,def _method_rest,"[2142, 2145, 355, 346, 5593, 5883, 2304, 2287, 2376, 2860, 3360, 4770, 4868]",FOUND,7
32,identifier,[2301],FOUND,1
36,identifier,"[2041, 216, 4745, 4540, 5604]",FOUND,1
41,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,4
42,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785, 5084]",FOUND,3
53,),"[5084, 5307, 5096]",FOUND,2
57,identifier,"[2041, 2053, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
59,identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,14
66,end,"[2041, 2053, 257, 252, 4944, 5777, 5785, 1714, 2, 2124, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,10
70,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2304, 2287, 2376, 2860, 3360, 4770, 4868]",FOUND,2
