Location,Ground_Truth,State_List,Coverage_Result,Rank
0,def _method_rest,"[1, 5883]",FOUND,13
4,identifier,[2301],FOUND,1
20,( _formal_parameter parameters_repeat1 ),"[4745, 4540, 5604]",FOUND,4
21,identifier,[4611],FOUND,1
22,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
24,identifier,[4622],FOUND,1
25,", _formal_parameter","[5461, 5245, 5268, 5515]",FOUND,2
27,identifier,[4622],FOUND,1
30,),"[5461, 5245, 5268, 5567, 5515]",FOUND,1
34,identifier,"[2041, 238, 2109, 150]",FOUND,1
38,< _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,38
40,integer,[1200],FOUND,1
42,? _arg : _arg,"[2226, 2286, 2380, 2376, 2501, 2778, 2547, 2812, 4589, 4625, 4944, 5777, 5810, 5554]",FOUND,20
44,identifier,[1768],FOUND,1
46,: _arg,"[2206, 2168, 2639, 3192, 4277]",FOUND,3
48,identifier,[1353],FOUND,1
64,( _argument_list_with_trailing_comma ),"[2079, 2044, 2139, 2501, 2806, 2547, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,14
65,identifier,[428],FOUND,1
66,", _argument","[1951, 34, 2499, 3515, 3995, 5317, 5442, 5815]",FOUND,2
68,identifier,"[432, 5815]",FOUND,3
70,+ _arg,"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5467, 5815]",FOUND,10
72,identifier,[1484],FOUND,2
73,", _argument","[2206, 2168, 2346, 3192, 3829, 3465, 3995, 5317, 5018, 5467, 5815]",FOUND,2
75,identifier,"[435, 5815]",FOUND,4
79,- _arg,"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5351, 5467, 5815]",FOUND,12
81,integer,[1484],FOUND,1
82,),"[2813, 3068, 3026, 3027, 3192, 3829, 3465, 3995, 5317, 5018, 5351, 5467, 5815, 5560]",FOUND,1
84,end,"[2041, 2053, 252, 4944, 5777, 5810, 2455, 2257, 2376, 2501, 2806, 2547, 2812, 4589, 4625]",FOUND,7
89,def _method_rest,"[2142, 2145, 346, 5593, 5883, 2393, 2287, 2376, 2860, 3360, 4770, 4861]",FOUND,7
93,identifier,[2301],FOUND,1
102,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
103,identifier,[4611],FOUND,1
104,),"[5461, 5245, 5499]",FOUND,1
108,identifier,"[2041, 238, 2084, 150]",FOUND,1
124,( _argument_list_with_trailing_comma ),"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,5
125,integer,[428],FOUND,6
126,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5815, 5560]",FOUND,2
128,integer,"[432, 5815]",FOUND,4
129,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5467, 5815, 5560]",FOUND,2
131,identifier,"[435, 5815]",FOUND,4
132,),"[1951, 34, 2499, 3515, 3995, 5317, 5018, 5351, 5467, 5815]",FOUND,1
134,end,"[2041, 2053, 252, 4944, 5777, 5810, 2455, 2257, 2376, 2552, 2812, 4589, 4625]",FOUND,11
