Location,Ground_Truth,State_List,Coverage_Result,Rank
0,identifier,"[1, 5883]",FOUND,1
17,""" _literal_contents )","[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883]",FOUND,1
18,string_content,"[1924, 8, 2182, 2860, 3360, 4770, 4861, 5593, 5883, 5084]",FOUND,1
29,),"[5084, 5307, 5096]",FOUND,2
32,class constant _terminator body_statement end,"[2142, 2145, 346, 5593, 5883, 2259, 2544, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4861]",FOUND,12
38,constant _terminator body_statement end,[1975],FOUND,1
46,identifier,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,5
58,simple_symbol,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5828]",FOUND,10
69,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2380, 2376, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,4
73,identifier,[2466],FOUND,1
88,( _formal_parameter ),"[4745, 4557, 5621]",FOUND,2
89,identifier,[4611],FOUND,1
95,),"[5461, 5245, 5499]",FOUND,1
101,case _statement _terminator case_repeat1 else end,"[2041, 238, 2084, 149]",FOUND,14
106,identifier,"[283, 386, 5250]",FOUND,1
112,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4610]",FOUND,1
113,identifier,[3163],FOUND,1
117,/ _arg,"[1911, 4, 2132, 2552, 2812, 4589, 4610]",FOUND,42
119,identifier,[1175],FOUND,2
125,. identifier,"[2079, 2044, 2139, 2501, 2817, 2547, 2812, 4589, 4610]",FOUND,2
126,identifier,[3133],FOUND,1
135,when pattern then,"[5437, 4908, 2078, 2046, 2139, 2501, 2817, 2547, 2812, 4589, 4610]",FOUND,14
140,integer,[810],FOUND,6
142,.. _arg,"[3004, 2286, 2380, 2376, 2501, 4076, 5051, 5554]",FOUND,20
144,integer,"[396, 2547, 4076, 5051]",FOUND,11
154,instance_variable,"[2041, 301, 5505, 5261, 3004, 2286, 2380, 2376, 2501, 3895, 2547, 4076, 5051, 5554]",FOUND,17
162,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5261]",FOUND,3
164,""" _literal_contents )",[462],FOUND,3
165,string_content,"[462, 5084]",FOUND,1
166,),"[5084, 5307, 5096]",FOUND,2
172,when pattern then,"[2041, 2053, 252, 5095, 5576, 5505, 5261, 2259, 2234, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,22
177,integer,[810],FOUND,6
179,... _arg,"[3004, 2286, 2380, 2376, 2501, 4076, 5051, 5554]",NOT_FOUND,0
182,integer,"[396, 2547, 4076, 5051]",FOUND,11
191,instance_variable,"[2041, 301, 5505, 5316, 5261, 3004, 2286, 2380, 2376, 2501, 3895, 2547, 4076, 5051, 5554]",FOUND,17
199,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5316, 5261]",FOUND,3
201,""" _literal_contents )",[462],FOUND,3
202,string_content,"[462, 5084]",FOUND,1
203,),"[5084, 5307, 5096]",FOUND,2
209,when pattern then,"[2041, 2053, 252, 5095, 5576, 5505, 5316, 5261, 2259, 2234, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,22
214,integer,[810],FOUND,6
216,... _arg,"[3004, 2286, 2380, 2376, 2501, 4076, 5051, 5554]",NOT_FOUND,0
219,integer,"[396, 2547, 4076, 5051]",FOUND,11
228,instance_variable,"[2041, 301, 5505, 5316, 5261, 3004, 2286, 2380, 2376, 2501, 3895, 2547, 4076, 5051, 5554]",FOUND,17
236,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5316, 5261]",FOUND,3
238,""" _literal_contents )",[462],FOUND,3
239,string_content,"[462, 5084]",FOUND,1
240,),"[5084, 5307, 5096]",FOUND,2
246,when pattern then,"[2041, 2053, 252, 5095, 5576, 5505, 5316, 5261, 2259, 2234, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,22
251,integer,[810],FOUND,6
253,... _arg,"[3004, 2286, 2380, 2376, 2501, 4076, 5051, 5554]",NOT_FOUND,0
256,integer,"[396, 2547, 4076, 5051]",FOUND,11
265,instance_variable,"[2041, 301, 5505, 5316, 5261, 3004, 2286, 2380, 2376, 2501, 3895, 2547, 4076, 5051, 5554]",FOUND,17
273,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5095, 5576, 5505, 5316, 5261]",FOUND,3
275,""" _literal_contents )",[462],FOUND,3
276,string_content,"[462, 5084]",FOUND,1
277,),"[5084, 5307, 5096]",FOUND,2
283,else _terminator _statements,"[2041, 2053, 252, 5095, 5576, 5505, 5316, 5261, 2259, 2234, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,41
294,instance_variable,"[2041, 289, 5797, 268]",FOUND,6
302,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5368, 5797]",FOUND,3
304,""" _literal_contents )",[462],FOUND,3
305,string_content,"[462, 5084]",FOUND,1
306,),"[5084, 5307, 5096]",FOUND,2
312,end,"[2041, 2053, 252, 5368, 5797, 2259, 2234, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,35
318,end,"[2041, 2053, 252, 4944, 5777, 5810, 2401, 2376, 2552, 2812, 4589, 4625]",FOUND,11
322,end,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,21
327,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2311, 2376, 2860, 3360, 4770, 4868]",FOUND,2
341,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
343,constant,[481],FOUND,1
348,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
349,identifier,[3136],FOUND,1
353,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
366,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
367,identifier,[3136],FOUND,1
382,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
383,[ _argument_list_with_trailing_comma ],[428],FOUND,8
384,integer,[430],FOUND,1
386,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5926, 5560]",FOUND,1
387,integer,"[432, 5926]",FOUND,3
389,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5467, 5926, 5560]",FOUND,1
390,integer,"[435, 5926]",FOUND,1
392,],"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,3
393,),"[3005, 3027, 3515, 3995, 5317, 5442, 5815]",FOUND,1
395,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2255, 2376, 2860, 3360, 4770, 4868]",FOUND,2
411,= _arg,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,5
413,constant,[481],FOUND,1
418,. identifier,"[1924, 12, 2180, 2860, 3182, 2547, 3360, 4770, 4868, 5593, 5883]",FOUND,3
419,identifier,[3136],FOUND,1
423,identifier,"[2142, 2145, 355, 346, 5593, 5883, 1930, 13, 2180, 2860, 3182, 2547, 3360, 4770, 4868]",FOUND,2
438,. identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,4
439,identifier,[3136],FOUND,1
454,( _argument_list_with_trailing_comma ),"[1930, 11, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,7
455,[ _argument_list_with_trailing_comma ],[428],FOUND,8
456,integer,[430],FOUND,1
458,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5926, 5560]",FOUND,1
459,integer,"[432, 5926]",FOUND,3
461,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5467, 5926, 5560]",FOUND,1
462,integer,"[435, 5926]",FOUND,1
464,],"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,3
