Location,Ground_Truth,State_List,Coverage_Result,Rank
0,def _method_rest,"[1, 5883]",FOUND,13
4,identifier,[2301],FOUND,1
18,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
19,identifier,[4611],FOUND,1
22,),"[5461, 5245, 5499]",FOUND,1
26,identifier,"[2041, 238, 2084, 150]",FOUND,1
29,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
30,identifier,[3163],FOUND,1
37,{ block_parameters block_body },"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,15
39,| _formal_parameter |,[255],FOUND,1
40,identifier,[4572],FOUND,1
42,|,"[5315, 5245, 5374]",FOUND,1
44,identifier,"[2156, 318]",FOUND,1
47,% _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,34
49,integer,[1175],FOUND,1
51,== _arg,"[2226, 2286, 2380, 2376, 2501, 2817, 2547, 2812, 4589, 4625, 5893, 5814, 5554]",FOUND,2
54,integer,[1220],FOUND,2
56,},"[2226, 2286, 2380, 2376, 2501, 2776, 2547, 2812, 4589, 4625, 5893, 5814, 5554]",FOUND,4
58,end,"[2041, 2053, 252, 4944, 5777, 5810, 2369, 2308, 2376, 2552, 2812, 4589, 4625]",FOUND,11
63,def _method_rest,"[2142, 2145, 346, 5593, 5883, 2393, 2287, 2376, 2860, 3360, 4770, 4861]",FOUND,7
67,identifier,[2301],FOUND,1
81,( _formal_parameter ),"[4745, 4540, 5604]",FOUND,3
82,identifier,[4611],FOUND,1
85,),"[5461, 5245, 5499]",FOUND,1
89,identifier,"[2041, 238, 2084, 150]",FOUND,1
92,. identifier,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,1
93,identifier,[3163],FOUND,1
100,{ block_parameters block_body },"[1911, 4, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,15
102,| _formal_parameter |,[255],FOUND,1
103,identifier,[4572],FOUND,1
105,|,"[5315, 5245, 5374]",FOUND,1
107,identifier,"[2156, 318]",FOUND,1
110,% _arg,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 5893, 5814]",FOUND,34
112,integer,[1175],FOUND,1
114,== _arg,"[2226, 2286, 2380, 2376, 2501, 2817, 2547, 2812, 4589, 4625, 5893, 5814, 5554]",FOUND,2
117,integer,[1220],FOUND,2
119,},"[2226, 2286, 2380, 2376, 2501, 2776, 2547, 2812, 4589, 4625, 5893, 5814, 5554]",FOUND,4
121,end,"[2041, 2053, 252, 4944, 5777, 5810, 2369, 2308, 2376, 2552, 2812, 4589, 4625]",FOUND,11
126,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2393, 2287, 2376, 2860, 3360, 4770, 4868]",FOUND,2
131,identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
145,( _argument_list_with_trailing_comma ),"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,16
146,[ _argument_list_with_trailing_comma ],[428],FOUND,8
147,- _simple_numeric,[430],FOUND,9
148,integer,"[430, 5056]",FOUND,1
149,", _argument","[2813, 3368, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5926, 5560]",FOUND,1
150,integer,"[432, 5926]",FOUND,3
151,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5467, 5926, 5560]",FOUND,1
152,integer,"[435, 5926]",FOUND,1
153,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
154,integer,"[435, 5926]",FOUND,1
155,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
156,integer,"[435, 5926]",FOUND,1
157,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
158,integer,"[435, 5926]",FOUND,1
159,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
160,integer,"[435, 5926]",FOUND,1
161,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
162,integer,"[435, 5926]",FOUND,1
164,],"[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,3
165,),"[3005, 3027, 3515, 3995, 5317, 5442, 5815]",FOUND,1
167,identifier,"[2142, 2145, 355, 346, 5593, 5883, 2455, 2264, 2376, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868]",FOUND,3
172,identifier,"[1924, 8, 2182, 2860, 3360, 4770, 4868, 5593, 5883]",FOUND,15
186,( _argument_list_with_trailing_comma ),"[1918, 10, 2171, 2721, 3165, 4482, 4641, 4466, 4515, 4770, 4868, 5593, 5883]",FOUND,16
187,[ _argument_list_with_trailing_comma ],[428],FOUND,8
188,- _simple_numeric,[430],FOUND,9
189,integer,"[430, 5056]",FOUND,1
190,", _argument","[2813, 3368, 3068, 3026, 3027, 3515, 3995, 5317, 5442, 5926, 5560]",FOUND,1
191,integer,"[432, 5926]",FOUND,3
192,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5467, 5926, 5560]",FOUND,1
193,integer,"[435, 5926]",FOUND,1
194,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
195,integer,"[435, 5926]",FOUND,1
196,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
197,integer,"[435, 5926]",FOUND,1
198,", _argument","[2813, 3068, 3026, 3027, 3515, 3995, 5317, 5018, 5351, 5467, 5926, 5560]",FOUND,1
