Location,Ground_Truth,State_List,Coverage_Result,Rank
0,class constant _terminator body_statement end,"[1, 5883]",FOUND,5
6,constant _terminator body_statement end,[1975],FOUND,1
20,def _method_rest,"[2041, 217, 125, 4668, 5420, 5447]",FOUND,6
24,identifier,[2466],FOUND,1
34,( _formal_parameter parameters_repeat1 ),"[4745, 4557, 5621]",FOUND,3
35,identifier,[4611],FOUND,1
39,", _formal_parameter","[5461, 5245, 5499]",FOUND,2
41,identifier,[4622],FOUND,1
54,", _formal_parameter","[5461, 5245, 5268, 5515]",FOUND,2
56,identifier,[4622],FOUND,1
71,", _formal_parameter","[5461, 5245, 5268, 5567, 5515]",FOUND,2
73,identifier,[4622],FOUND,1
86,),"[5461, 5245, 5268, 5567, 5515]",FOUND,1
92,instance_variable,"[2041, 238, 2109, 149]",FOUND,3
98,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5810]",FOUND,3
100,identifier,[462],FOUND,1
109,instance_variable,"[2041, 2053, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4625]",FOUND,6
124,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
126,identifier,[462],FOUND,1
144,instance_variable,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,7
161,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
163,identifier,[462],FOUND,1
183,instance_variable,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,7
198,= _arg,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5810]",FOUND,3
200,identifier,[462],FOUND,1
216,end,"[2041, 2053, 257, 252, 4944, 5777, 5810, 1909, 5, 2130, 2552, 2715, 2547, 2812, 4589, 4626]",FOUND,12
223,def _method_rest,"[2041, 2053, 252, 4944, 5777, 5828, 2393, 2287, 2376, 2552, 2812, 4589, 4625]",FOUND,5
227,identifier,[2466],FOUND,1
237,identifier,"[2041, 216, 4745, 4557, 5621]",FOUND,3
242,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785]",FOUND,4
243,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4625, 4944, 5777, 5785, 5084]",FOUND,3
259,#{ _statements },"[5084, 5307, 5096]",FOUND,4
261,instance_variable,[357],FOUND,3
266,},"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
267,),"[5302, 5307, 5177, 5096]",FOUND,1
273,identifier,"[2041, 2053, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4625]",FOUND,1
282,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5785, 1909, 3, 2132, 2552, 2812, 4589, 4626]",FOUND,3
287,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,4
288,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785, 5084]",FOUND,3
297,#{ _statements },"[5084, 5307, 5096]",FOUND,4
299,instance_variable,[357],FOUND,3
313,. identifier,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
314,identifier,[3163],FOUND,1
320,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
321,),"[5302, 5307, 5177, 5096]",FOUND,1
327,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
332,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,4
333,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785, 5084]",FOUND,3
344,#{ _statements },"[5084, 5307, 5096]",FOUND,4
346,instance_variable,[357],FOUND,3
362,. identifier,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
363,identifier,[3163],FOUND,1
369,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
370,),"[5302, 5307, 5177, 5096]",FOUND,1
376,identifier,"[2041, 2053, 257, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,2
381,""" _literal_contents )","[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785]",FOUND,4
382,string_content,"[1909, 3, 2132, 2552, 2812, 4589, 4626, 4944, 5777, 5785, 5084]",FOUND,3
391,#{ _statements },"[5084, 5307, 5096]",FOUND,4
393,instance_variable,[357],FOUND,3
407,. identifier,"[1910, 1909, 3, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,1
408,identifier,[3163],FOUND,1
414,},"[1911, 4, 2132, 2552, 2812, 4589, 4625, 5807]",FOUND,9
415,),"[5302, 5307, 5177, 5096]",FOUND,1
419,end,"[2041, 2053, 257, 252, 4944, 5777, 5785, 2259, 2254, 2506, 2696, 4482, 4522, 4466, 4515, 4589, 4626]",FOUND,9
423,end,"[2041, 2053, 257, 252, 4944, 5777, 5828, 2304, 2287, 2376, 2552, 2812, 4589, 4626]",FOUND,21
