File Name,Location,Ground_Truth_Candidate,State_List
CollisionPhysics.sb,"2,1","[ID, ., ID, (, )]",[1]
CollisionPhysics.sb,"2,15","[., ID, (, )]",[188]
CollisionPhysics.sb,"2,16","[ID, (, )]",[259]
CollisionPhysics.sb,"2,20","[(, )]",[214]
CollisionPhysics.sb,"2,21",[)],[25]
CollisionPhysics.sb,"3,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"3,4","[=, Expr]",[188]
CollisionPhysics.sb,"3,6",[NUM],[73]
CollisionPhysics.sb,"4,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"4,4","[=, Expr]",[188]
CollisionPhysics.sb,"4,6",[NUM],[73]
CollisionPhysics.sb,"5,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"5,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"5,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"5,26","[=, Expr]",[214]
CollisionPhysics.sb,"5,28",[STR],[75]
CollisionPhysics.sb,"6,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"6,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"6,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"6,20","[=, Expr]",[214]
CollisionPhysics.sb,"6,22","[(, Expr, )]",[75]
CollisionPhysics.sb,"6,23","[ID, ., ID]",[84]
CollisionPhysics.sb,"6,30","[., ID]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]"
CollisionPhysics.sb,"6,31",[ID],[248]
CollisionPhysics.sb,"6,37","[-, MultiplicativeExpr]","[65, 91, 128, 167, 183, 195, 246]"
CollisionPhysics.sb,"6,38",[ID],[141]
CollisionPhysics.sb,"6,40",[)],[246]
CollisionPhysics.sb,"6,41","[/, UnaryExpr]","[10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]"
CollisionPhysics.sb,"6,42",[NUM],[155]
CollisionPhysics.sb,"7,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"7,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"7,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"7,21","[=, Expr]",[214]
CollisionPhysics.sb,"7,23","[(, Expr, )]",[75]
CollisionPhysics.sb,"7,24","[ID, ., ID]",[84]
CollisionPhysics.sb,"7,31","[., ID]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]"
CollisionPhysics.sb,"7,32",[ID],[248]
CollisionPhysics.sb,"7,37","[-, MultiplicativeExpr]","[65, 91, 128, 167, 183, 195, 246]"
CollisionPhysics.sb,"7,38",[ID],[141]
CollisionPhysics.sb,"7,40",[)],[246]
CollisionPhysics.sb,"7,41","[/, UnaryExpr]","[10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]"
CollisionPhysics.sb,"7,42",[NUM],[155]
CollisionPhysics.sb,"8,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"8,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"8,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"8,22","[=, Expr]",[214]
CollisionPhysics.sb,"8,24",[STR],[75]
CollisionPhysics.sb,"9,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"9,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"9,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"9,22","[=, Expr]",[214]
CollisionPhysics.sb,"9,24",[ID],[75]
CollisionPhysics.sb,"10,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"10,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"10,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"10,23","[=, Expr]",[214]
CollisionPhysics.sb,"10,25",[ID],[75]
CollisionPhysics.sb,"11,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"11,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"11,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"11,32","[=, Expr]",[214]
CollisionPhysics.sb,"11,34",[STR],[75]
CollisionPhysics.sb,"14,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"14,4","[=, Expr]",[188]
CollisionPhysics.sb,"14,6",[ID],[73]
CollisionPhysics.sb,"14,8","[-, MultiplicativeExpr]","[28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]"
CollisionPhysics.sb,"14,9",[NUM],[143]
CollisionPhysics.sb,"15,1","[ID, ., ID, =, Expr]",[97]
CollisionPhysics.sb,"15,15","[., ID, =, Expr]",[188]
CollisionPhysics.sb,"15,16","[ID, =, Expr]",[259]
CollisionPhysics.sb,"15,26","[=, Expr]",[214]
CollisionPhysics.sb,"15,28",[ID],[75]
CollisionPhysics.sb,"17,1","[ID, :]",[97]
CollisionPhysics.sb,"17,6",[:],[188]
CollisionPhysics.sb,"20,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"20,6","[=, Expr]",[188]
CollisionPhysics.sb,"20,8",[NUM],[73]
CollisionPhysics.sb,"21,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"21,6","[=, Expr]",[188]
CollisionPhysics.sb,"21,8",[NUM],[73]
CollisionPhysics.sb,"22,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"22,8","[=, Expr]",[188]
CollisionPhysics.sb,"22,10",[NUM],[73]
CollisionPhysics.sb,"23,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"23,9","[=, Expr]",[188]
CollisionPhysics.sb,"23,11",[NUM],[73]
CollisionPhysics.sb,"24,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"24,4","[=, Expr]",[188]
CollisionPhysics.sb,"24,6",[NUM],[73]
CollisionPhysics.sb,"25,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"25,7","[=, Expr]",[188]
CollisionPhysics.sb,"25,9",[NUM],[73]
CollisionPhysics.sb,"26,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"26,9","[=, Expr]",[188]
CollisionPhysics.sb,"26,11",[NUM],[73]
CollisionPhysics.sb,"27,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"27,8","[=, Expr]",[188]
CollisionPhysics.sb,"27,10",[STR],[73]
CollisionPhysics.sb,"30,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"30,8","[=, Expr]",[188]
CollisionPhysics.sb,"30,10",[NUM],[73]
CollisionPhysics.sb,"31,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"31,6","[=, Expr]",[188]
CollisionPhysics.sb,"31,8",[NUM],[73]
CollisionPhysics.sb,"31,9","[*, UnaryExpr]","[10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]"
CollisionPhysics.sb,"31,10",[ID],[155]
CollisionPhysics.sb,"32,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"32,7","[=, Expr]",[188]
CollisionPhysics.sb,"32,9","[ID, ., ID, (, Exprs, )]",[73]
CollisionPhysics.sb,"32,13","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]"
CollisionPhysics.sb,"32,14","[ID, (, Exprs, )]",[247]
CollisionPhysics.sb,"32,19","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]"
CollisionPhysics.sb,"32,20",[ID],[21]
CollisionPhysics.sb,"32,22","[/, UnaryExpr]","[50, 65, 91, 128, 167, 183, 195, 217, 242, 250]"
CollisionPhysics.sb,"32,23",[ID],[156]
CollisionPhysics.sb,"32,27",[)],[250]
CollisionPhysics.sb,"33,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"33,8","[=, Expr]",[188]
CollisionPhysics.sb,"33,10",[STR],[73]
CollisionPhysics.sb,"34,1","[ID, (, )]",[97]
CollisionPhysics.sb,"34,6","[(, )]",[188]
CollisionPhysics.sb,"34,7",[)],[256]
CollisionPhysics.sb,"35,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"35,8","[=, Expr]",[188]
CollisionPhysics.sb,"35,10",[STR],[73]
CollisionPhysics.sb,"36,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"36,8","[=, Expr]",[188]
CollisionPhysics.sb,"36,10",[STR],[73]
CollisionPhysics.sb,"37,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"37,6","[=, Expr]",[188]
CollisionPhysics.sb,"37,8",[STR],[73]
CollisionPhysics.sb,"38,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"38,9","[=, Expr]",[188]
CollisionPhysics.sb,"38,11",[STR],[73]
CollisionPhysics.sb,"39,1","[ID, =, Expr]",[97]
CollisionPhysics.sb,"39,10","[=, Expr]",[188]
CollisionPhysics.sb,"39,12",[STR],[73]
CollisionPhysics.sb,"42,1","[ID, ., ID, (, )]",[97]
CollisionPhysics.sb,"42,15","[., ID, (, )]",[188]
CollisionPhysics.sb,"42,16","[ID, (, )]",[259]
CollisionPhysics.sb,"42,20","[(, )]",[214]
CollisionPhysics.sb,"42,21",[)],[25]
CollisionPhysics.sb,"45,1","[Stmt_token1, Expr, Stmt_repeat1, Stmt_token2]",[97]
