Location,Ground_Truth,State_List,Coverage_Result,Rank
0,ID :,"[1, 241]",FOUND,6
5,:,[188],FOUND,8
8,ID . ID ( Exprs ),"[171, 164, 159, 97, 241]",FOUND,2
18,. ID ( Exprs ),[188],FOUND,2
19,ID ( Exprs ),[259],FOUND,1
24,( Exprs ),[214],FOUND,1
25,STR,[25],FOUND,2
43,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",FOUND,5
46,ID = Expr,"[175, 147, 164, 159, 101, 97, 241]",FOUND,1
50,= Expr,[188],FOUND,1
52,ID . ID ( ),[73],FOUND,5
62,. ID ( ),"[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",FOUND,13
63,ID ( ),[247],FOUND,2
73,( ),"[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",FOUND,13
74,),[21],FOUND,4
77,ID = Expr,"[19, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",FOUND,1
87,= Expr,[188],FOUND,1
89,ID . ID ( Exprs ),[73],FOUND,2
93,. ID ( Exprs ),"[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",FOUND,7
94,ID ( Exprs ),[247],FOUND,1
103,( Exprs ),"[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",FOUND,7
104,ID,[21],FOUND,3
107,", MoreThanOneExpr","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",FOUND,1
109,NUM,[54],FOUND,1
110,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 250]",FOUND,8
113,Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",FOUND,9
116,( Expr ),[66],FOUND,2
117,ID,[80],FOUND,1
127,= CompExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 265]",FOUND,2
129,NUM,[117],FOUND,1
130,),"[51, 29, 38, 50, 65, 87, 128, 167, 183, 195, 265]",FOUND,3
132,Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[53, 29, 38, 50, 65, 91, 128, 167, 183, 195, 243]",FOUND,10
139,CR_token2,[121],FOUND,1
141,ID . ID ( Exprs ),"[109, 67, 119]",FOUND,2
151,. ID ( Exprs ),[184],FOUND,2
152,ID ( Exprs ),[255],FOUND,1
161,( Exprs ),[221],FOUND,1
162,STR,[27],FOUND,2
182,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",FOUND,2
184,CR_token2,"[210, 226, 207]",FOUND,1
185,OptionalElse_token2 CRStmtCRs OptionalElse_token1,"[109, 112, 68, 119]",FOUND,10
192,CR_token2,[198],FOUND,1
194,ID . ID ( Exprs ),"[163, 113, 231]",FOUND,2
204,. ID ( Exprs ),[184],FOUND,2
205,ID ( Exprs ),[255],FOUND,1
214,( Exprs ),[221],FOUND,1
215,STR,[27],FOUND,2
234,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",FOUND,2
236,CR_token2,"[210, 226, 202]",FOUND,1
237,OptionalElse_token1,"[163, 166, 114, 231]",FOUND,3
244,Stmt_token3 ID,"[174, 149, 161, 164, 159, 101, 97, 241]",FOUND,15
249,ID,[228],FOUND,1
