Location,Ground_Truth,State_List,Coverage_Result,Rank
0,ID . ID = Expr,"[1, 241]",FOUND,2
14,. ID = Expr,[188],FOUND,3
15,ID = Expr,[259],FOUND,2
21,= Expr,[214],FOUND,2
23,NUM,[75],FOUND,2
28,ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 97, 241]",FOUND,4
42,. ID = Expr,[188],FOUND,3
43,ID = Expr,[259],FOUND,2
50,= Expr,[214],FOUND,2
52,NUM,[75],FOUND,2
57,ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",FOUND,4
71,. ID = Expr,[188],FOUND,3
72,ID = Expr,[259],FOUND,2
81,= Expr,[214],FOUND,2
83,STR,[75],FOUND,1
92,ID . ID ( Exprs ),"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",FOUND,2
106,. ID ( Exprs ),[188],FOUND,2
107,ID ( Exprs ),[259],FOUND,1
115,( Exprs ),[214],FOUND,1
116,NUM,[25],FOUND,1
118,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",FOUND,1
120,NUM,[54],FOUND,1
122,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
124,NUM,[54],FOUND,1
127,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
129,NUM,[54],FOUND,1
132,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,5
135,ID . ID = Expr,"[175, 147, 164, 159, 101, 97, 241]",FOUND,4
149,. ID = Expr,[188],FOUND,3
150,ID = Expr,[259],FOUND,2
159,= Expr,[214],FOUND,2
161,STR,[75],FOUND,1
169,ID . ID ( Exprs ),"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",FOUND,2
183,. ID ( Exprs ),[188],FOUND,2
184,ID ( Exprs ),[259],FOUND,1
192,( Exprs ),[214],FOUND,1
193,NUM,[25],FOUND,1
195,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",FOUND,1
197,NUM,[54],FOUND,1
200,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
202,NUM,[54],FOUND,1
205,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
207,NUM,[54],FOUND,1
209,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,5
