Location,Ground_Truth,State_List,Coverage_Result,Rank
0,ID . ID = Expr,"[1, 241]",FOUND,2
14,. ID = Expr,[188],FOUND,3
15,ID = Expr,[259],FOUND,2
21,= Expr,[214],FOUND,2
23,NUM,[75],FOUND,2
28,ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 97, 241]",FOUND,4
42,. ID = Expr,[188],FOUND,3
43,ID = Expr,[259],FOUND,2
50,= Expr,[214],FOUND,2
52,NUM,[75],FOUND,2
57,ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",FOUND,4
71,. ID = Expr,[188],FOUND,3
72,ID = Expr,[259],FOUND,2
81,= Expr,[214],FOUND,2
83,NUM,[75],FOUND,2
87,ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",FOUND,4
101,. ID = Expr,[188],FOUND,3
102,ID = Expr,[259],FOUND,2
111,= Expr,[214],FOUND,2
113,STR,[75],FOUND,1
122,ID . ID ( Exprs ),"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",FOUND,2
136,. ID ( Exprs ),[188],FOUND,2
137,ID ( Exprs ),[259],FOUND,1
145,( Exprs ),[214],FOUND,1
146,NUM,[25],FOUND,1
148,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",FOUND,1
150,NUM,[54],FOUND,1
152,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
154,NUM,[54],FOUND,1
157,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
159,NUM,[54],FOUND,1
162,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,5
165,ID . ID = Expr,"[175, 147, 164, 159, 101, 97, 241]",FOUND,4
179,. ID = Expr,[188],FOUND,3
180,ID = Expr,[259],FOUND,2
189,= Expr,[214],FOUND,2
191,STR,[75],FOUND,1
199,ID . ID ( Exprs ),"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",FOUND,2
213,. ID ( Exprs ),[188],FOUND,2
214,ID ( Exprs ),[259],FOUND,1
222,( Exprs ),[214],FOUND,1
223,NUM,[25],FOUND,1
225,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",FOUND,1
227,NUM,[54],FOUND,1
230,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
232,NUM,[54],FOUND,1
235,", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,1
237,NUM,[54],FOUND,1
239,),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",FOUND,5
