Location,Ground_Truth,State_List,Rank
"1,1",ID Idxs = Expr,"[1, 241]",7
"1,8",[ Expr ] Idxs,[188],6
"1,9",STR,[76],3
"1,14",] Idxs,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"1,15",[ Expr ],"[7, 251]",1
"1,16",STR,[76],3
"1,22",],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"1,24",= Expr,"[7, 45, 251]",3
"1,26",STR,[63],1
"2,1",ID Idxs = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 97, 241]",5
"2,8",[ Expr ] Idxs,[188],6
"2,9",STR,[76],3
"2,14",] Idxs,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"2,15",[ Expr ],"[7, 251]",1
"2,16",STR,[76],3
"2,23",],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"2,25",= Expr,"[7, 45, 251]",3
"2,27",STR,[63],1
"4,1",ID Idxs = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97, 241]",5
"4,8",[ Expr ] Idxs,[188],6
"4,9",STR,[76],3
"4,13",] Idxs,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"4,14",[ Expr ],"[7, 251]",1
"4,15",STR,[76],3
"4,21",],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"4,23",= Expr,"[7, 45, 251]",3
"4,25",STR,[63],1
"5,1",ID Idxs = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97, 241]",5
"5,8",[ Expr ] Idxs,[188],6
"5,9",STR,[76],3
"5,13",] Idxs,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"5,14",[ Expr ],"[7, 251]",1
"5,15",STR,[76],3
"5,22",],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"5,24",= Expr,"[7, 45, 251]",3
"5,26",STR,[63],1
"7,1",ID Idxs = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97, 241]",5
"7,8",[ Expr ] Idxs,[188],6
"7,9",STR,[76],3
"7,14",] Idxs,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"7,15",[ Expr ],"[7, 251]",1
"7,16",STR,[76],3
"7,22",],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"7,24",= Expr,"[7, 45, 251]",3
"7,26",STR,[63],1
"8,1",ID Idxs = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97, 241]",5
"8,8",[ Expr ] Idxs,[188],6
"8,9",STR,[76],3
"8,14",] Idxs,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",3
"8,15",[ Expr ],"[7, 251]",1
"8,16",STR,[76],3
"8,23",],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"8,25",= Expr,"[7, 45, 251]",3
"8,27",STR,[63],1
"10,1",ID . ID ( Exprs ),"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97, 241]",2
"10,11",. ID ( Exprs ),[188],2
"10,12",ID ( Exprs ),[259],1
"10,17",( Exprs ),[214],1
"10,18",STR,[25],2
"10,40",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",4
"11,1",ID = Expr,"[175, 147, 164, 159, 101, 97, 241]",1
"11,10",= Expr,[188],1
"11,12",ID . ID ( ),[73],5
"11,22",. ID ( ),"[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",11
"11,23",ID ( ),[247],2
"11,27",( ),"[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",11
"11,28",),[21],5
"13,1",ID . ID ( Exprs ),"[19, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",2
"13,11",. ID ( Exprs ),[188],2
"13,12",ID ( Exprs ),[259],1
