Location,Ground_Truth,State_List,Rank
"1,1",ID . ID = Expr,[1],4
"1,15",. ID = Expr,[188],3
"1,16",ID = Expr,[259],2
"1,22",= Expr,[214],2
"1,24",NUM,[75],2
"2,1",ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 97]",4
"2,15",. ID = Expr,[188],3
"2,16",ID = Expr,[259],2
"2,23",= Expr,[214],2
"2,25",NUM,[75],2
"3,1",ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",4
"3,15",. ID = Expr,[188],3
"3,16",ID = Expr,[259],2
"3,25",= Expr,[214],2
"3,27",NUM,[75],2
"4,1",ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",4
"4,15",. ID = Expr,[188],3
"4,16",ID = Expr,[259],2
"4,25",= Expr,[214],2
"4,27",STR,[75],1
"5,1",ID . ID ( Exprs ),"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",2
"5,15",. ID ( Exprs ),[188],2
"5,16",ID ( Exprs ),[259],1
"5,24",( Exprs ),[214],1
"5,25",NUM,[25],1
"5,27",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",1
"5,29",NUM,[54],1
"5,31",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",1
"5,33",NUM,[54],1
"5,36",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252]",1
"5,38",NUM,[54],1
"5,41",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252]",0
"6,1",ID . ID = Expr,"[175, 147, 164, 159, 101, 97]",4
"6,15",. ID = Expr,[188],3
"6,16",ID = Expr,[259],2
"6,25",= Expr,[214],2
"6,27",STR,[75],1
"7,1",ID . ID ( Exprs ),"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",2
"7,15",. ID ( Exprs ),[188],2
"7,16",ID ( Exprs ),[259],1
"7,24",( Exprs ),[214],1
"7,25",NUM,[25],1
"7,27",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",1
"7,29",NUM,[54],1
"7,32",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 240]",1
"7,34",NUM,[54],1
"7,37",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252]",1
"7,39",NUM,[54],1
"7,41",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252]",0
