Location,Ground_Truth,State_List,Rank
"1,1",ID ( ),[1],5
"1,10",( ),[188],4
"1,11",),[256],1
"2,1",ID . ID ( Exprs ),"[150, 147, 164, 159, 97]",2
"2,11",. ID ( Exprs ),[188],2
"2,12",ID ( Exprs ),[259],1
"2,17",( Exprs ),[214],1
"2,18",STR,[25],2
"2,37",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",5
"3,1",ID = Expr,"[175, 147, 164, 159, 101, 97]",1
"3,6",= Expr,[188],1
"3,8",ID . ID ( ),[73],5
"3,18",. ID ( ),"[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]",13
"3,19",ID ( ),[247],2
"3,23",( ),"[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]",13
"3,24",),[21],4
"4,1",ID . ID ( Exprs ),"[19, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]",2
"4,11",. ID ( Exprs ),[188],2
"4,12",ID ( Exprs ),[259],1
"4,17",( Exprs ),[214],1
"4,18",ID,[25],3
"4,23",+ MultiplicativeExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",2
"4,25",STR,[141],3
"4,46",),"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 240]",5
"5,1",ID ( ),"[175, 147, 164, 159, 101, 97]",8
"5,10",( ),[188],4
"5,11",),[256],1
"6,1",Stmt_token7 ID CRStmtCRs Stmt_token8,"[150, 147, 164, 159, 101, 97]",3
"6,5",ID CRStmtCRs Stmt_token8,[244],1
"6,17",CR_token2,[199],1
"7,5",ID . ID ( Exprs ),"[160, 105, 257]",5
"7,15",. ID ( Exprs ),[184],2
"7,16",ID ( Exprs ),[255],1
"7,25",( Exprs ),[221],1
"7,26",ID . ID,[27],9
"7,31",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",13
"7,32",ID,[248],2
"7,36",),"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",2
"7,38",CR_token2,"[210, 226, 206]",1
"8,1",Stmt_token8,"[160, 165, 106, 257]",4
