Location,Ground_Truth,State_List,Rank
"1,1",Stmt_token4 ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[1],12
"1,5",ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[234],1
"1,6",= Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[232],1
"1,7",NUM,[60],1
"1,9",Stmt_token5 Expr CRStmtCRs Stmt_token6,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 258]",13
"1,12",NUM,[58],1
"1,15",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 140]",5
"2,3",ID = Expr,"[137, 88, 189]",1
"2,7",= Expr,[184],1
"2,9",ID . ID ( Exprs ),[70],2
"2,15",. ID ( Exprs ),"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 203]",3
"2,16",ID ( Exprs ),[260],1
"2,32",( Exprs ),"[24, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 203]",3
"2,33",STR,[26],3
"2,51",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 249]",4
"2,57",CR_token2,"[49, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 203]",1
"3,3",ID . ID ( Exprs ),"[137, 138, 96, 189]",1
"3,17",. ID ( Exprs ),[184],2
"3,18",ID ( Exprs ),[255],1
"3,34",( Exprs ),[221],1
"3,35",ID,[27],1
"3,38",", MoreThanOneExpr","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",1
"3,40",NUM,[54],1
"3,41",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",1
"3,43",NUM,[54],1
"3,44",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252]",1
"3,46",NUM,[54],1
"3,49",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252]",1
"3,51",NUM,[54],1
"3,54",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252]",0
"3,56",CR_token2,"[210, 226, 203]",1
"4,1",Stmt_token6,"[137, 138, 89, 96, 189]",5
