Location,Ground_Truth,State_List,Rank
"1,2",[Start_repeat1],[1],1
"2,1",[Start_repeat1],[1],1
"3,1",[Start_repeat1],[1],1
"4,1",[Start_repeat1],[1],1
"6,1",[Start_repeat1],[1],1
"7,1",[Start_repeat1],[1],1
"8,1","[ID, ., ID, (, )]",[1],6
"8,15","[., ID, (, )]",[188],7
"8,16","[ID, (, )]",[259],3
"8,20","[(, )]",[214],3
"8,21",[)],[25],4
"9,1","[ID, ., ID, =, Expr]","[162, 147, 164, 159, 97]",4
"9,15","[., ID, =, Expr]",[188],3
"9,16","[ID, =, Expr]",[259],2
"9,27","[=, Expr]",[214],2
"9,29",[STR],[75],1
"10,1","[ID, ., ID, =, Expr]","[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",4
"10,15","[., ID, =, Expr]",[188],3
"10,16","[ID, =, Expr]",[259],2
"10,22","[=, Expr]",[214],2
"10,24",[NUM],[75],2
"11,1","[ID, ., ID, =, Expr]","[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",4
"11,15","[., ID, =, Expr]",[188],3
"11,16","[ID, =, Expr]",[259],2
"11,23","[=, Expr]",[214],2
"11,25",[NUM],[75],2
"12,1","[ID, ., ID, =, Expr]","[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",4
"12,15","[., ID, =, Expr]",[188],3
"12,16","[ID, =, Expr]",[259],2
"12,22","[=, Expr]",[214],2
"12,24",[STR],[75],1
"13,1","[ID, ., ID, =, Expr]","[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",4
"13,15","[., ID, =, Expr]",[188],3
"13,16","[ID, =, Expr]",[259],2
"13,21","[=, Expr]",[214],2
"13,23","[(, Expr, )]",[75],5
"13,24","[ID, ., ID]",[84],2
"13,31","[., ID]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",11
"13,32",[ID],[248],2
"13,38","[-, MultiplicativeExpr]","[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",3
"13,40",[NUM],[141],2
"13,44",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 246]",13
"13,46","[/, UnaryExpr]","[13, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",14
"13,48",[NUM],[155],1
"14,1","[ID, ., ID, =, Expr]","[9, 12, 16, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",4
"14,15","[., ID, =, Expr]",[188],3
"14,16","[ID, =, Expr]",[259],2
"14,21","[=, Expr]",[214],2
"14,23","[(, Expr, )]",[75],5
"14,24","[ID, ., ID]",[84],2
"14,31","[., ID]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",11
"14,32",[ID],[248],2
"14,39","[-, MultiplicativeExpr]","[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",3
"14,41",[NUM],[141],2
"14,44",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 246]",13
"14,46","[/, UnaryExpr]","[13, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",14
"14,48",[NUM],[155],1
"15,1",[Start_repeat1],"[9, 12, 16, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",6
"17,1",[Start_repeat1],"[9, 12, 16, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",6
"18,1",[Start_repeat1],"[9, 12, 16, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",6
"19,1","[ID, =, Expr]","[9, 12, 16, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97]",1
"19,6","[=, Expr]",[188],1
"19,8",[STR],[73],4
"20,1","[ID, =, Expr]","[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]",1
"20,12","[=, Expr]",[188],1
"20,14","[ID, ., ID, (, Exprs, )]",[73],2
"20,23","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]",7
"20,24","[ID, (, Exprs, )]",[247],1
"20,33","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]",7
"20,35",[ID],[21],3
"20,40","[+, MultiplicativeExpr]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",2
"20,42",[STR],[141],3
"20,59",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 250]",7
"21,1","[ID, Idxs, =, Expr]","[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97]",7
"21,6","[[, Expr, ]]",[188],5
"21,7",[STR],[76],3
"21,10",[]],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"21,12","[=, Expr]","[7, 251]",3
"21,14","[ID, ., ID, (, Exprs, )]",[63],3
"21,23","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"21,24","[ID, (, Exprs, )]",[247],1
"21,33","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"21,35",[ID],[21],3
"21,40","[+, MultiplicativeExpr]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",2
"21,42",[STR],[141],3
"21,59",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 250]",7
"22,1","[ID, Idxs, =, Expr]","[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"22,6","[[, Expr, ]]",[188],5
"22,7",[STR],[76],3
"22,10",[]],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"22,12","[=, Expr]","[7, 251]",3
"22,14","[ID, ., ID, (, Exprs, )]",[63],3
"22,23","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"22,24","[ID, (, Exprs, )]",[247],1
"22,33","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"22,35",[ID],[21],3
"22,40","[+, MultiplicativeExpr]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",2
"22,42",[STR],[141],3
"22,59",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 250]",7
"23,1","[ID, Idxs, =, Expr]","[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"23,6","[[, Expr, ]]",[188],5
"23,7",[STR],[76],3
"23,10",[]],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"23,12","[=, Expr]","[7, 251]",3
"23,14","[ID, ., ID, (, Exprs, )]",[63],3
"23,23","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"23,24","[ID, (, Exprs, )]",[247],1
"23,33","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"23,35",[ID],[21],3
"23,40","[+, MultiplicativeExpr]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",2
"23,42",[STR],[141],3
"23,59",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 250]",7
"24,1","[ID, Idxs, =, Expr]","[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"24,6","[[, Expr, ]]",[188],5
"24,7",[STR],[76],3
"24,10",[]],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"24,12","[=, Expr]","[7, 251]",3
"24,14","[ID, ., ID, (, Exprs, )]",[63],3
"24,23","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"24,24","[ID, (, Exprs, )]",[247],1
"24,33","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"24,35",[ID],[21],3
"24,40","[+, MultiplicativeExpr]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",2
"24,42",[STR],[141],3
"24,59",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 250]",7
"25,1","[ID, Idxs, =, Expr]","[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"25,6","[[, Expr, ]]",[188],5
"25,7",[STR],[76],3
"25,10",[]],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"25,12","[=, Expr]","[7, 251]",3
"25,14","[ID, ., ID, (, Exprs, )]",[63],3
"25,23","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"25,24","[ID, (, Exprs, )]",[247],1
"25,33","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"25,35",[ID],[21],3
"25,40","[+, MultiplicativeExpr]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",2
"25,42",[STR],[141],3
"25,59",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 250]",7
"26,1","[ID, Idxs, =, Expr]","[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"26,6","[[, Expr, ]]",[188],5
"26,7",[STR],[76],3
"26,10",[]],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"26,12","[=, Expr]","[7, 251]",3
"26,14","[ID, ., ID, (, Exprs, )]",[63],3
"26,23","[., ID, (, Exprs, )]","[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"26,24","[ID, (, Exprs, )]",[247],1
"26,33","[(, Exprs, )]","[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 158, 147, 164, 159, 101, 97]",7
"26,35",[ID],[21],3
