Location,Ground_Truth,State_List,Rank
"1,1",Stmt_token4 ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,"[1, 241]",10
"1,5",ID = Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[234],1
"1,7",= Expr Stmt_token5 Expr CRStmtCRs Stmt_token6,[232],1
"1,9",NUM,[60],1
"1,11",Stmt_token5 Expr CRStmtCRs Stmt_token6,"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 258]",13
"1,14",NUM,[58],1
"1,19",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 140]",5
"2,5",ID . ID ( Exprs ),"[137, 88, 189]",2
"2,15",. ID ( Exprs ),[184],2
"2,16",ID ( Exprs ),[255],1
"2,25",( Exprs ),[221],1
"2,26",ID,[27],1
"2,27",),"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",2
"2,29",CR_token2,"[210, 226, 203]",1
"3,1",Stmt_token6,"[137, 138, 96, 189]",5
