Location,Ground_Truth,State_List,Rank
"1,1","[Stmt_token4, ID, =, Expr, Stmt_token5, Expr, CRStmtCRs, Stmt_token6]",[1],12
"1,5","[ID, =, Expr, Stmt_token5, Expr, CRStmtCRs, Stmt_token6]",[234],1
"1,7","[=, Expr, Stmt_token5, Expr, CRStmtCRs, Stmt_token6]",[232],1
"1,9",[NUM],[60],1
"1,11","[Stmt_token5, Expr, CRStmtCRs, Stmt_token6]","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 258]",13
"1,14",[NUM],[58],1
"1,18",[CR_token2],"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 140]",5
"2,5","[ID, ., ID, (, Exprs, )]","[137, 88, 189]",2
"2,15","[., ID, (, Exprs, )]",[184],2
"2,16","[ID, (, Exprs, )]",[255],1
"2,21","[(, Exprs, )]",[221],1
"2,22",[STR],[27],2
"2,29","[+, MultiplicativeExpr]","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",3
"2,31",[ID],[141],1
"2,33","[+, MultiplicativeExpr]","[4, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 238]",3
"2,35",[STR],[141],3
"2,51",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 238]",2
"2,55",[CR_token2],"[210, 226, 203]",1
"3,5","[ID, Idxs, =, Expr]","[137, 138, 96, 189]",3
"3,9","[[, Expr, ]]",[184],3
"3,10",[ID],[76],2
"3,11",[]],"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"3,13","[=, Expr]","[7, 263]",1
"3,15",[ID],[55],3
"3,16",[CR_token2],"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 225, 226, 203]",1
"4,1",[Stmt_token6],"[137, 138, 89, 96, 189]",5
"5,1","[ID, ., ID, (, Exprs, )]","[151, 164, 159, 97]",2
"5,11","[., ID, (, Exprs, )]",[188],2
"5,12","[ID, (, Exprs, )]",[259],1
"5,17","[(, Exprs, )]",[214],1
"5,18",[STR],[25],2
"5,26",[)],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",5
"6,1","[Stmt_token4, ID, =, Expr, Stmt_token5, Expr, CRStmtCRs, Stmt_token6]","[175, 147, 164, 159, 101, 97]",11
"6,5","[ID, =, Expr, Stmt_token5, Expr, CRStmtCRs, Stmt_token6]",[234],1
"6,7","[=, Expr, Stmt_token5, Expr, CRStmtCRs, Stmt_token6]",[232],1
"6,9",[NUM],[60],1
"6,11","[Stmt_token5, Expr, CRStmtCRs, Stmt_token6]","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 258]",13
"6,14",[NUM],[58],1
"6,18",[CR_token2],"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 140]",5
"7,5","[ID, ., ID, (, Exprs, )]","[137, 88, 189]",2
"7,15","[., ID, (, Exprs, )]",[184],2
"7,16","[ID, (, Exprs, )]",[255],1
"7,21","[(, Exprs, )]",[221],1
"7,22","[ID, Idxs]",[27],4
"7,26","[[, Expr, ]]","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",5
"7,27",[ID],[76],2
"7,28",[]],"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 245]",1
"7,30","[+, MultiplicativeExpr]","[7, 39, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",3
"7,32",[STR],[141],3
"7,36",[)],"[51, 29, 38, 30, 65, 91, 128, 167, 183, 195, 217, 242, 238]",2
"7,38",[CR_token2],"[210, 226, 203]",1
"8,1",[Stmt_token6],"[137, 138, 96, 189]",5
"9,1","[ID, ., ID, (, Exprs, )]","[151, 164, 159, 101, 97]",2
"9,11","[., ID, (, Exprs, )]",[188],2
"9,12","[ID, (, Exprs, )]",[259],1
"9,21","[(, Exprs, )]",[214],1
"9,22",[STR],[25],2
"9,24",[)],"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 240]",5
