Location,Ground_Truth,State_List,Rank
"1,1",ID . ID = Expr,"[1, 241]",1
"1,15",. ID = Expr,[188],3
"1,16",ID = Expr,[259],2
"1,27",= Expr,[214],2
"1,29",STR,[75],1
"2,1",ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 97, 241]",4
"2,15",. ID = Expr,[188],3
"2,16",ID = Expr,[259],2
"2,26",= Expr,[214],2
"2,28",ID,[75],3
"3,1",Stmt_token7 ID CRStmtCRs Stmt_token8,"[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",3
"3,5",ID CRStmtCRs Stmt_token8,[244],1
"3,16",CR_token2,[199],1
"4,5",ID = Expr,"[160, 105, 257]",3
"4,7",= Expr,[184],1
"4,9",ID . ID,[70],6
"4,23",. ID,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",9
"4,24",ID,[260],2
"4,31",- MultiplicativeExpr,"[24, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",5
"4,33",NUM,[144],1
"4,38",CR_token2,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 206]",1
"5,5",ID = Expr,"[160, 165, 106, 257]",1
"5,7",= Expr,[184],1
"5,9",ID . ID,[70],6
"5,23",. ID,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",9
"5,24",ID,[260],2
"5,31",- MultiplicativeExpr,"[24, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 206]",5
"5,33",NUM,[144],1
"5,38",CR_token2,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 206]",1
"6,5",ID . ID ( Exprs ),"[160, 165, 107, 106, 257]",3
"6,19",. ID ( Exprs ),[184],2
"6,20",ID ( Exprs ),[255],1
"6,31",( Exprs ),[221],1
"6,32",ID,[27],1
"6,33",", MoreThanOneExpr","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",1
"6,35",ID,[54],2
"6,36",", MoreThanOneExpr","[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",1
"6,38",NUM,[54],1
"6,40",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",1
"6,42",NUM,[54],1
"6,44",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 238]",2
"6,46",CR_token2,"[210, 226, 206]",1
"7,1",Stmt_token8,"[160, 165, 107, 106, 257]",4
