Location,Ground_Truth,State_List,Rank
"1,2",Start_repeat1,"[1, 241]",1
"2,1",ID . ID ( ),"[1, 241]",6
"2,15",. ID ( ),[188],7
"2,16",ID ( ),[259],3
"2,20",( ),[214],3
"2,21",),[25],4
"3,1",ID = Expr,"[162, 147, 164, 159, 97, 241]",1
"3,4",= Expr,[188],1
"3,6",NUM,[73],1
"4,1",ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",1
"4,4",= Expr,[188],1
"4,6",NUM,[73],1
"5,1",ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 150, 147, 164, 159, 101, 97, 241]",4
"5,15",. ID = Expr,[188],3
"5,16",ID = Expr,[259],2
"5,26",= Expr,[214],2
"5,28",STR,[75],1
"6,1",ID . ID = Expr,"[9, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",4
"6,15",. ID = Expr,[188],3
"6,16",ID = Expr,[259],2
"6,20",= Expr,[214],2
"6,22",( Expr ),[75],5
"6,23",ID . ID,[84],2
"6,30",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",11
"6,31",ID,[248],2
"6,37",- MultiplicativeExpr,"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",3
"6,38",ID,[141],1
"6,40",),"[4, 29, 38, 30, 65, 91, 128, 167, 183, 195, 246]",17
"6,41",/ UnaryExpr,"[13, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",14
"6,42",NUM,[155],1
"7,1",ID . ID = Expr,"[9, 12, 16, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",4
"7,15",. ID = Expr,[188],3
"7,16",ID = Expr,[259],2
"7,21",= Expr,[214],2
"7,23",( Expr ),[75],5
"7,24",ID . ID,[84],2
"7,31",. ID,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",11
"7,32",ID,[248],2
"7,37",- MultiplicativeExpr,"[23, 29, 38, 50, 65, 91, 128, 167, 183, 195, 246]",3
"7,38",ID,[141],1
