Location,Ground_Truth,State_List,Rank
"1,1",ID . ID = Expr,"[1, 241]",4
"1,15",. ID = Expr,[188],3
"1,16",ID = Expr,[259],2
"1,24",= Expr,[214],2
"1,26",ID,[75],3
"2,1",ID . ID = Expr,"[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 97, 241]",4
"2,15",. ID = Expr,[188],3
"2,16",ID = Expr,[259],2
"2,32",= Expr,[214],2
"2,34",ID . ID ( Exprs ),[75],7
"2,48",. ID ( Exprs ),"[2, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",7
"2,49",ID ( Exprs ),[247],1
"2,64",( Exprs ),"[6, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",7
"2,66",NUM,[21],2
"2,69",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 250]",1
"2,71",NUM,[54],1
"2,74",", MoreThanOneExpr","[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 250]",1
"2,76",NUM,[54],1
"2,80",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 252, 242, 250]",8
"4,1",Stmt_token1 Expr CRStmtCRs Stmt_token2,"[20, 12, 11, 10, 28, 61, 108, 127, 139, 154, 162, 147, 164, 159, 101, 97, 241]",16
"4,7",STR,[77],1
"4,13",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 192]",5
"5,3",ID = Expr,"[126, 93, 179]",2
"5,9",= Expr,[184],1
"5,11",NUM,[70],3
"5,12",CR,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",6
"5,45",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"6,3",ID = Expr,"[126, 132, 95, 179]",1
"6,10",= Expr,[184],1
"6,12",NUM,[70],3
"6,14",CR,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",6
"6,39",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"7,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"7,11",= Expr,[184],1
"7,13",NUM,[70],3
"7,15",CR,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",6
"7,71",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"8,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"8,11",= Expr,[184],1
"8,13",NUM,[70],3
"8,15",CR,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",6
"8,71",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"9,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"9,10",= Expr,[184],1
"9,12",NUM,[70],3
"9,14",CR,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",6
"9,52",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"10,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"10,11",= Expr,[184],1
"10,13",NUM,[70],3
"10,15",CR,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",6
"10,54",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"11,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"11,14",= Expr,[184],1
"11,16",NUM,[70],3
"11,19",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"12,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"12,12",= Expr,[184],1
"12,14",NUM,[70],3
"12,17",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"13,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"13,16",= Expr,[184],1
"13,18",NUM,[70],3
"13,20",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"14,3",ID = Expr,"[126, 132, 92, 95, 179]",1
"14,16",= Expr,[184],1
"14,18",NUM,[70],3
"14,19",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",3
"16,3",ID . ID ( ),"[126, 132, 92, 95, 179]",13
"16,17",. ID ( ),[184],7
"16,18",ID ( ),[255],3
"16,23",( ),[221],3
"16,24",),[27],5
"16,25",CR_token2,"[208, 226, 205]",1
"17,3",ID . ID = Expr,"[126, 132, 92, 95, 179]",8
"17,17",. ID = Expr,[184],4
"17,18",ID = Expr,[255],2
"17,24",= Expr,[221],2
"17,26",STR,[57],1
"17,46",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 208, 226, 205]",3
"18,3",ID . ID = Expr,"[126, 132, 92, 95, 179]",8
"18,17",. ID = Expr,[184],4
"18,18",ID = Expr,[255],2
"18,25",= Expr,[221],2
"18,27",NUM,[57],2
"18,30",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 208, 226, 205]",3
"19,3",ID . ID = Expr,"[126, 132, 92, 95, 179]",8
"19,17",. ID = Expr,[184],4
"19,18",ID = Expr,[255],2
"19,24",= Expr,[221],2
"19,26",NUM,[57],2
"19,29",CR_token2,"[43, 44, 42, 48, 59, 90, 135, 169, 181, 194, 208, 226, 205]",3
"20,3",ID . ID ( ),"[126, 132, 92, 95, 179]",13
"20,17",. ID ( ),[184],7
"20,18",ID ( ),[255],3
"20,22",( ),[221],3
"20,23",),[27],5
"20,24",CR_token2,"[208, 226, 205]",1
"22,3",ID ( ),"[126, 132, 92, 95, 179]",6
"22,17",( ),[184],5
"22,18",),[261],1
"22,19",CR_token2,"[215, 226, 205]",1
"23,3",ID ( ),"[126, 132, 92, 95, 179]",6
"23,14",( ),[184],5
"23,15",),[261],1
